#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   191602   191658      +    no    1 0.37   0.0   66.8   2.5e-09 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_RHNX01000020.1    -         Sodium               RF03071    cm        1       55    27998    28046      +    no    1 0.55   0.0   27.4        29 ?   Levilactobacillus fujinensis strain 218-6 contig20, whole genome shotgun sequence
NZ_JQCF01000005.1    -         Sodium               RF03071    cm        1       55   125825   125782      -    no    1 0.52   0.0   27.4        30 ?   Companilactobacillus kimchiensis strain DSM 24716 Scaffold5, whole genome shotgun sequence
NZ_CP060720.1        -         Sodium               RF03071    cm        1       55  2994869  2994913      +    no    1 0.53   0.0   27.3        31 ?   Vagococcus carniphilus strain ATCC BAA-640 chromosome, complete genome
NZ_BCWC01000006.1    -         Sodium               RF03071    cm        1       55     9021     9066      +    no    1 0.52   0.0   27.3        31 ?   Companilactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160, whole genome shotgun sequence
NZ_FXTP01000012.1    -         Sodium               RF03071    cm        1       55    64718    64687      -    no    1 0.34   0.0   27.3        31 ?   Gracilimonas mengyeensis strain DSM 21985, whole genome shotgun sequence
NZ_NIDL01000002.1    -         Sodium               RF03071    cm        1       55   138555   138513      -    no    1 0.19   1.6   27.3        31 ?   Polaribacter tangerinus strain WS2-14 contig2, whole genome shotgun sequence
NZ_FNVX01000006.1    -         Sodium               RF03071    cm        1       55   214240   214191      -    no    1 0.46   0.0   27.3        31 ?   Bacteroides ihuae strain Marseille-P2824T, whole genome shotgun sequence
NZ_SNZA01000004.1    -         Sodium               RF03071    cm        1       55   252458   252391      -    no    1 0.51   0.0   27.3        32 ?   Marinomonas communis strain DSM 5604 Ga0215679_104, whole genome shotgun sequence
NZ_SLZX01000027.1    -         Sodium               RF03071    cm        1       55     3035     3088      +    no    1 0.46   0.0   27.2        33 ?   Effusibacillus lacus strain DSM 27172 Ga0244702_127, whole genome shotgun sequence
NZ_CP024872.1        -         Sodium               RF03071    cm        1       55    32021    32067      +    no    1 0.28   0.0   27.2        34 ?   Leptospira mayottensis 200901116 chromosome II, complete sequence
NZ_CP048268.1        -         Sodium               RF03071    cm        1       55  1168870  1168819      -    no    1 0.44   0.0   27.2        34 ?   Lactobacillus panisapium strain ESL0416 chromosome, complete genome
NZ_CP024870.1        -         Sodium               RF03071    cm        1       55  1437984  1437917      -    no    1 0.35   0.0   27.1        35 ?   Spiroplasma clarkii strain CN-5 chromosome, complete genome
NZ_CP047242.1        -         Sodium               RF03071    cm        1       55  1231003  1231048      +    no    1 0.43   0.0   27.1        35 ?   Trichormus variabilis 0441 chromosome, complete genome
NZ_AZFN01000004.1    -         Sodium               RF03071    cm        1       55    24400    24444      +    no    1 0.36   0.1   27.1        35 ?   Limosilactobacillus gastricus DSM 16045 Scaffold4, whole genome shotgun sequence
NZ_CP045007.1        -         Sodium               RF03071    cm        1       55  1741676  1741724      +    no    1 0.35   0.0   27.1        36 ?   Latilactobacillus graminis strain LG542 chromosome, complete genome
NZ_WQLA01000004.1    -         Sodium               RF03071    cm        1       55   279465   279416      -    no    1 0.38   0.2   27.0        37 ?   Mucilaginibacter aquatilis strain HME9299 4, whole genome shotgun sequence
NZ_JACJQG010000004.1 -         Sodium               RF03071    cm        1       55   110747   110800      +    no    1 0.37   0.0   27.0        37 ?   Calothrix anomala FACHB-343 contig4, whole genome shotgun sequence
NZ_JACJQH010000006.1 -         Sodium               RF03071    cm        1       55   110741   110794      +    no    1 0.37   0.0   27.0        37 ?   Calothrix parietina FACHB-288 contig6, whole genome shotgun sequence
NZ_AMQH01000006.1    -         Sodium               RF03071    cm        1       55    96172    96117      -    no    1 0.39   0.0   27.0        37 ?   Clostridium tunisiense TJ C661contig6, whole genome shotgun sequence
NZ_LRVM01000010.1    -         Sodium               RF03071    cm        1       55    29750    29800      +    no    1 0.41   0.0   27.0        38 ?   Anaerotignum neopropionicum strain DSM-3847 CLNEO_contig000010, whole genome shotgun sequence
NZ_LN831027.1        -         Sodium               RF03071    cm        1       55  1545996  1545947      -    no    1 0.32   0.0   27.0        39 ?   Fusobacterium nucleatum subsp. polymorphum strain NCTC10562 chromosome 1, complete sequence
NZ_SULH01000004.1    -         Sodium               RF03071    cm        1       55   135781   135829      +    no    1 0.59   0.0   26.9        39 ?   Levilactobacillus enshiensis strain HBUAS57009 Scaffold4, whole genome shotgun sequence
NZ_LVYD01000077.1    -         Sodium               RF03071    cm        1       55    20819    20763      -    no    1 0.40   0.0   26.9        41 ?   Niastella vici strain DJ57 contig47, whole genome shotgun sequence
NZ_CP038015.1        -         Sodium               RF03071    cm        1       55  3357099  3357041      -    no    1 0.44   0.0   26.9        41 ?   Paenisporosarcina antarctica strain CGMCC 1.6503 chromosome, complete genome
NZ_VDGH01000016.1    -         Sodium               RF03071    cm        1       55    26533    26588      +    no    1 0.36   0.0   26.8        42 ?   Psychrobacillus lasiicapitis strain NEAU-3TGS17 scaffold16, whole genome shotgun sequence
NZ_JABSNO010000014.1 -         Sodium               RF03071    cm        1       55    80763    80813      +    no    1 0.41   0.0   26.8        42 ?   Frigoriflavimonas asaccharolytica strain 16F Ga0416765_14, whole genome shotgun sequence
NZ_CP040021.1        -         Sodium               RF03071    cm        1       55  1849489  1849433      -    no    1 0.28   0.2   26.7        44 ?   Salinivibrio kushneri strain AL184 chromosome 1, complete sequence
NZ_LAPZ01000001.1    -         Sodium               RF03071    cm        1       55   289395   289363      -    no    1 0.33   0.0   26.7        45 ?   Tenacibaculum holothuriorum strain S2-2 contig1, whole genome shotgun sequence
NZ_JAEHFX010000001.1 -         Sodium               RF03071    cm        1       55   900841   900872      +    no    1 0.41   0.0   26.7        46 ?   Adhaeribacter terrigena strain BT258 NODE_1_length_994607_cov_56.974909, whole genome shotgun sequence
NZ_JAGFBU010000001.1 -         Sodium               RF03071    cm        1       55  1038755  1038708      -    no    1 0.38   0.0   26.6        47 ?   Flavobacterium flabelliforme strain P4023 NODE_1_length_1422010_cov_53.139131, whole genome shotgun sequence
NZ_FOSL01000002.1    -         Sodium               RF03071    cm        1       55   413424   413369      -    no    1 0.54   0.0   26.5        51 ?   Mesorhizobium albiziae strain DSM 21822, whole genome shotgun sequence
NZ_QCZH01000019.1    -         Sodium               RF03071    cm        1       55    60140    60095      -    no    1 0.33   0.0   26.5        51 ?   Flavobacterium laiguense strain LB2P30 NODE_19_length_73237_cov_205.545257, whole genome shotgun sequence
NZ_JQAJ01000003.1    -         Sodium               RF03071    cm        1       55   220474   220423      -    no    1 0.48   0.0   26.5        52 ?   Candidatus Hepatobacter penaei strain NHPB Scaffold_3, whole genome shotgun sequence
NZ_JAAEJV010000028.1 -         Sodium               RF03071    cm        1       55    15787    15739      -    no    1 0.31   0.0   26.5        52 ?   Candidatus Neptunochlamydia vexilliferae strain K9 NEPTK9_contig00028, whole genome shotgun sequence
NZ_CP012395.1        -         Sodium               RF03071    cm        1       55  1022906  1022942      +    no    1 0.38   0.0   26.4        53 ?   Clostridium autoethanogenum DSM 10061 chromosome, complete genome
NZ_CP016786.1        -         Sodium               RF03071    cm        1       55  1197124  1197179      +    no    1 0.29   0.0   26.4        54 ?   Clostridium isatidis strain DSM 15098 chromosome, complete genome
NZ_CP049246.1        -         Sodium               RF03071    cm        1       55  3961796  3961843      +    no    1 0.33   0.0   26.4        54 ?   Sphingobacterium lactis strain DSM 22361 chromosome, complete genome
NC_008576.1          -         Sodium               RF03071    cm        1       55  2884999  2884936      -    no    1 0.47   0.0   26.4        55 ?   Magnetococcus marinus MC-1, complete sequence
NZ_AP024484.1        -         Sodium               RF03071    cm        1       55   464728   464669      -    no    1 0.40   0.0   26.3        57 ?   Prevotella herbatica strain WR041 chromosome, complete genome
NZ_CP063056.1        -         Sodium               RF03071    cm        1       55   832631   832584      -    no    1 0.38   0.0   26.2        59 ?   Rodentibacter haemolyticus strain DSM 111151 chromosome, complete genome
NZ_RHNU01000040.1    -         Sodium               RF03071    cm        1       55    14228    14183      -    no    1 0.54   0.0   26.2        59 ?   Companilactobacillus insicii strain DSM 29801 contig40, whole genome shotgun sequence
NZ_FZNU01000001.1    -         Sodium               RF03071    cm        1       55   423527   423484      -    no    1 0.61   0.0   26.2        60 ?   Tistlia consotensis strain DSM 21585, whole genome shotgun sequence
NZ_CP015398.1        -         Sodium               RF03071    cm        1       55   683912   683960      +    no    1 0.53   0.0   26.2        61 ?   Levilactobacillus brevis strain NPS-QW-145 chromosome, complete genome
NZ_QGTD01000004.1    -         Sodium               RF03071    cm        1       55   275535   275486      -    no    1 0.28   0.0   26.1        62 ?   Gracilibacillus dipsosauri strain DD1 NODE_3_length_478018_cov_78.172540, whole genome shotgun sequence
NC_013960.1          -         Sodium               RF03071    cm        1       55  2323166  2323199      +    no    1 0.35   0.0   26.1        63 ?   Nitrosococcus halophilus Nc 4, complete sequence
NZ_CP030105.1        -         Sodium               RF03071    cm        1       55  2111224  2111177      -    no    1 0.46   0.0   26.1        64 ?   Lactiplantibacillus plantarum strain SK151 chromosome, complete genome
NZ_CP032744.1        -         Sodium               RF03071    cm        1       55  2480912  2480865      -    no    1 0.46   0.0   26.1        64 ?   Lactiplantibacillus paraplantarum strain DSM 10667 chromosome, complete genome
NZ_JAEQMM010000003.1 -         Sodium               RF03071    cm        1       55  2445986  2445939      -    no    1 0.46   0.0   26.1        64 ?   Lactiplantibacillus argentoratensis strain LQC 2520 Scaffold_3, whole genome shotgun sequence
NZ_LFEE01000035.1    -         Sodium               RF03071    cm        1       55     9267     9220      -    no    1 0.46   0.0   26.1        64 ?   Lactiplantibacillus herbarum strain TCF032-E4 NODE_396, whole genome shotgun sequence
NZ_CP029476.1        -         Sodium               RF03071    cm        1       55   895849   895799      -    no    1 0.47   0.0   26.1        64 ?   Lactobacillus apis strain ESL0185 chromosome, complete genome
NZ_KQ976354.1        -         Sodium               RF03071    cm        1       55  2368508  2368460      -    no    1 0.27   0.0   26.0        67 ?   Scytonema hofmannii PCC 7110 Scaffold1, whole genome shotgun sequence
NZ_JNJY01000003.1    -         Sodium               RF03071    cm        1       55    51005    51050      +    no    1 0.33   0.0   25.9        70 ?   Mesomycoplasma collis ATCC 35278 T403DRAFT_scaffold00003.3_C, whole genome shotgun sequence
NZ_BJDZ01000018.1    -         Sodium               RF03071    cm        1       55    24615    24568      -    no    1 0.48   0.0   25.9        72 ?   Lactiplantibacillus plajomi strain NBRC 107333 scaffold18, whole genome shotgun sequence
NZ_BJZN01000050.1    -         Sodium               RF03071    cm        1       55     5419     5463      +    no    1 0.53   0.0   25.9        73 ?   Companilactobacillus mindensis strain NBRC 107162 sequence050, whole genome shotgun sequence
NZ_CP061336.1        -         Sodium               RF03071    cm        1       55  1236406  1236333      -    no    1 0.32   0.7   25.9        73 ?   Ruminiclostridium herbifermentans strain MA18 chromosome, complete genome
NZ_RHNN01000003.1    -         Sodium               RF03071    cm        1       55   130292   130340      +    no    1 0.61   0.0   25.8        77 ?   Levilactobacillus cerevisiae strain DSM 100836 contig3, whole genome shotgun sequence
NZ_JAFLRH010000037.1 -         Sodium               RF03071    cm        1       55    81670    81620      -    no    1 0.45   0.0   25.7        79 ?   Paradesulfitobacterium ferrireducens strain PLL0 L1_ctg0014, whole genome shotgun sequence
NZ_PQVF01000001.1    -         Sodium               RF03071    cm        1       55   355880   355821      -    no    1 0.33   0.0   25.7        81 ?   Solitalea longa strain HR-AV HR-AV_1, whole genome shotgun sequence
NC_014720.1          -         Sodium               RF03071    cm        1       55   578683   578636      -    no    1 0.38   0.0   25.6        85 ?   Caldicellulosiruptor kronotskyensis 2002, complete sequence
NZ_VATY01000001.1    -         Sodium               RF03071    cm        1       55  1342001  1342067      +    no    1 0.40   0.0   25.6        86 ?   Maribacter algarum strain RZ26 Scaffold1, whole genome shotgun sequence
NZ_QWZQ01000006.1    -         Sodium               RF03071    cm        1       55    75002    75049      +    no    1 0.50   0.0   25.6        87 ?   Lactiplantibacillus garii strain FI11369 NODE_6_length_86192_cov_5.391646, whole genome shotgun sequence
NZ_BJDL01000026.1    -         Sodium               RF03071    cm        1       55    33163    33210      +    no    1 0.50   0.0   25.6        87 ?   Lactiplantibacillus songbeiensis strain 398-2 contig26, whole genome shotgun sequence
NC_019693.1          -         Sodium               RF03071    cm        3       55  5952532  5952479      -    no    1 0.33   0.0   25.6        88 ?   Oscillatoria acuminata PCC 6304, complete sequence
NZ_KQ034007.1        -         Sodium               RF03071    cm        1       55  1094450  1094400      -    no    1 0.45   0.0   25.6        88 ?   Lactobacillus kimbladii strain Hma2 Hma2_scaffold2, whole genome shotgun sequence
NZ_BPPC01000003.1    -         Sodium               RF03071    cm        1       55     4338     4388      +    no    1 0.45   0.0   25.6        88 ?   Lactobacillus huangpiensis strain F447 contig3, whole genome shotgun sequence
NZ_WUQX01000001.1    -         Sodium               RF03071    cm        1       55  4659306  4659365      +    no    1 0.25   0.4   25.5        94 ?   Sporofaciens musculi strain WCA-9-b2 tig00000001_pilon, whole genome shotgun sequence
NZ_CP042410.1        -         Sodium               RF03071    cm        1       55  1639817  1639775      -    no    1 0.51   0.0   25.4        94 ?   Leuconostoc citreum strain CBA3621 chromosome, complete genome
NZ_VTHJ01000077.1    -         Sodium               RF03071    cm        1       55    33671    33721      +    no    1 0.55   0.0   25.4        95 ?   Streptomyces tailanensis strain TRM68348 scaffold77, whole genome shotgun sequence
NZ_SDGZ01000024.1    -         Sodium               RF03071    cm        1       55     1968     1930      -    no    1 0.51   0.0   25.4        96 ?   Weissella muntiaci strain 8H-2 contig_24, whole genome shotgun sequence
NZ_FO704550.1        -         Sodium               RF03071    cm        1       55   829344   829389      +    no    1 0.28   0.0   25.4        96 ?   Xenorhabdus doucetiae strain FRM16 chromosome, complete genome
NZ_JACGCJ010000040.1 -         Sodium               RF03071    cm        1       55     3444     3396      -    no    1 0.53   0.0   25.4        97 ?   Lactobacillus sp. CC-MHH1034 contig40, whole genome shotgun sequence
NZ_JPIN01000001.1    -         Sodium               RF03071    cm        1       55   518899   518950      +    no    1 0.44   0.0   25.4     1e+02 ?   Pseudidiomarina atlantica strain MCCC 1A10513 contig1, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      sto/DUF1646/RF03071.sto.cm
# Target file:     /Users/julian/bioinfo/db/rs213-bact-repr/rs213-bact-repr.fna
# Option settings: cmsearch -o searches/bacteria-DUF1646-6/bacteria-DUF1646-6.out -A searches/bacteria-DUF1646-6/bacteria-DUF1646-6.out.sto --tblout searches/bacteria-DUF1646-6/bacteria-DUF1646-6.out.tbl -E 100.0 --incE 0.01 sto/DUF1646/RF03071.sto.cm /Users/julian/bioinfo/db/rs213-bact-repr/rs213-bact-repr.fna 
# Current dir:     /Users/julian/Desktop/breaker
# Date:            Thu Feb  2 16:10:58 2023
# [ok]
