#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_CP011020.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   375938   375988      +    no    1 0.84   3.5   22.3     9e+02 !   Pseudomonas chlororaphis strain UFB2 isolate Soil chromosome, complete genome
JABWBL010000085.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9265     9322      +    no    1 0.72   0.0   22.3     9e+02 !   Planctomycetaceae bacterium isolate MAG_29 scaffold_8440, whole genome shotgun sequence
NZ_JH992926.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   179908   179962      +    no    1 0.76   0.1   22.3     9e+02 !   Massilia timonae CCUG 45783 supercont1.5, whole genome shotgun sequence
NZ_CP032702.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2999790  2999720      -    no    1 0.63   0.0   22.3     9e+02 !   Pantoea dispersa strain DSM 32899 chromosome, complete genome
NZ_RPFW01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   694966   694924      -    no    1 0.81   0.2   22.3   9.1e+02 !   Trebonia kvetii strain 15TR583 NODE_1_length_1889528_cov_89.067929, whole genome shotgun sequence
VBKF01000177.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1217     1165      -    no    1 0.79   0.5   22.3   9.1e+02 !   Deltaproteobacteria bacterium isolate DP_2 14_0903_05_30cm_scaffold_951, whole genome shotgun sequence
JACQTL010000062.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10724    10769      +    no    1 0.80   0.2   22.3   9.1e+02 !   Actinobacteria bacterium isolate NC_groundwater_1410_Ag_S-0.65um_73_24 S_p65_S5_coassembly_k141_867293, whole genome shotgun sequence
MKUP01000028.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   161397   161352      -    no    1 0.78   0.1   22.3   9.1e+02 !   Burkholderiales bacterium 67-32 SCNpilot_cont_300_bf_scaffold_60, whole genome shotgun sequence
NZ_VFNU01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4478916  4478973      +    no    1 0.71   0.0   22.3   9.1e+02 !   Nocardioides sp. SLBN-35 Ga0314629_11, whole genome shotgun sequence
NZ_MECK01000610.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    35132    35088      -    no    1 0.73   0.0   22.3   9.1e+02 !   Streptomyces sp. CBMA123 CBMA123_7, whole genome shotgun sequence
NZ_PVZG01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   403091   403047      -    no    1 0.80   0.2   22.3   9.1e+02 !   Pseudosporangium ferrugineum strain DSM 45348 Ga0181035_104, whole genome shotgun sequence
JADMKC010000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7065     7117      +    no    1 0.68   0.0   22.3   9.1e+02 !   MAG: Thiobacillus sp. isolate MAG_77 NODE_3398_length_14412_cov_95.576722, whole genome shotgun sequence
JADMKC010000033.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7302     7250      -    no    1 0.68   0.0   22.3   9.1e+02 !   MAG: Thiobacillus sp. isolate MAG_77 NODE_415_length_64540_cov_90.157897, whole genome shotgun sequence
NZ_CP070961.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3424290  3424248      -    no    1 0.81   0.3   22.3   9.1e+02 !   Nocardioides sp. zg-1228 chromosome, complete genome
PKFB01000002.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    43246    43306      +    no    1 0.79   1.0   22.3   9.1e+02 !   Actinomycetales bacterium isolate RSA1 c_000000000082, whole genome shotgun sequence
JAEPND010000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    46101    46056      -    no    1 0.76   0.0   22.3   9.1e+02 !   Maricaulis sp. isolate HCUG1438-2 NODE_3_length_255923_cov_7.008275, whole genome shotgun sequence
NZ_QEHM01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   274505   274461      -    no    1 0.78   0.1   22.3   9.1e+02 !   Albibacillus kandeliae strain J95 Scaffold8, whole genome shotgun sequence
NZ_JAAZUH010000003.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    21236    21287      +    no    1 0.73   0.1   22.3   9.1e+02 !   Stenotrophomonas bentonitica strain DSM 103927 NODE_3, whole genome shotgun sequence
NZ_JACVXA010000029.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7514     7458      -    no    1 0.77   0.2   22.3   9.1e+02 !   Mangrovicoccus sp. HB182678 Contig_29, whole genome shotgun sequence
NZ_RCTZ02000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2766     2719      -    no    1 0.73   0.0   22.3   9.1e+02 !   Tropicibacter sp. LMIT003 NODE_4_length_325329_cov_86.356201, whole genome shotgun sequence
NZ_BLAD01000076.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    26994    27028      +    no    1 0.83   0.1   22.3   9.1e+02 !   Acrocarpospora corrugata strain NBRC 13972 sequence076, whole genome shotgun sequence
WGOE01000004.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   221989   222038      +    no    1 0.78   1.0   22.3   9.1e+02 !   Bacterium isolate RI_272 c_000000121772, whole genome shotgun sequence
VBIA01000125.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    20130    20187      +    no    1 0.66   0.0   22.3   9.1e+02 !   Chloroflexi bacterium isolate CF_118 14_0929_02_40cm_scaffold_834, whole genome shotgun sequence
NZ_BDGT01000020.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    23140    23088      -    no    1 0.62   0.0   22.3   9.1e+02 !   Thermogemmatispora onikobensis strain NBRC 111776, whole genome shotgun sequence
WRGF01000220.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    63986    64044      +    no    1 0.61   0.0   22.3   9.1e+02 !   Turicibacter sp. isolate Nc150P1bin9 JGI20169J29049_11449616, whole genome shotgun sequence
NZ_WNXF01000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    97549    97604      +    no    1 0.70   0.0   22.3   9.1e+02 !   Modicisalibacter sp. 'Wilcox' NODE_13_length_128605_cov_42.740578, whole genome shotgun sequence
JADMJX010000118.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    85402    85450      +    no    1 0.80   0.3   22.3   9.1e+02 !   MAG: Rhizobacter sp. isolate MAG_54 NODE_246_length_90108_cov_11.683253, whole genome shotgun sequence
SCUO01000057.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10737    10685      -    no    1 0.72   0.0   22.3   9.1e+02 !   Chloroflexi bacterium isolate FW602_bin.52 FW602_bin.52-57464, whole genome shotgun sequence
NZ_JAFEUP010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   604223   604291      +    no    1 0.71   0.1   22.3   9.1e+02 !   Pseudomonas sp. UL073 contig1, whole genome shotgun sequence
NZ_QOKW01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   253424   253487      +    no    1 0.73   0.0   22.3   9.1e+02 !   Roseomonas genomospecies 6 strain ATCC 49961 NODE_3_length_420463_cov_62.545028, whole genome shotgun sequence
NZ_KB904652.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    83249    83303      +    no    1 0.80   0.7   22.3   9.1e+02 !   Streptomyces vitaminophilus DSM 41686 A3IGDRAFT_scaffold_14.15, whole genome shotgun sequence
NZ_PTIX01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    73303    73336      +    no    1 0.79   0.0   22.3   9.1e+02 !   Actinokineospora auranticolor strain YU 961-1 Ga0180963_102, whole genome shotgun sequence
NZ_PYBV01000032.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    45607    45561      -    no    1 0.72   0.0   22.3   9.1e+02 !   Micromonospora arborensis strain NRRL 8041 Micromonospora_arborensis_8041_contig_32, whole genome shotgun sequence
NZ_JAFBBP010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1822488  1822442      -    no    1 0.72   0.0   22.3   9.1e+02 !   Micromonospora luteifusca strain DSM 100204 Ga0451102_01, whole genome shotgun sequence
URLT01000016.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2432     2492      +    no    1 0.70   0.0   22.3   9.1e+02 !   uncultured Clostridiales bacterium isolate UMGS1116 genome assembly, contig: NODE_152_length_24210_cov_5.47092, whole genome shotgun sequence
WTGY01000090.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    51097    51038      -    no    1 0.70   0.1   22.3   9.1e+02 !   Caldilineaceae bacterium isolate CO36405bin_14 NODE_157_length_54764_cov_44.135170, whole genome shotgun sequence
SHZN01000013.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19208    19265      +    no    1 0.76   0.1   22.3   9.1e+02 !   Gammaproteobacteria bacterium isolate Baikal-deep-G150 BACOMB-C9379, whole genome shotgun sequence
SCTR01000006.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   514157   514199      +    no    1 0.60   0.0   22.3   9.1e+02 !   Actinobacteria bacterium isolate FW305_bin.1 FW305_bin.1-9850, whole genome shotgun sequence
JADMJO010000074.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      499      552      +    no    1 0.72   0.0   22.3   9.1e+02 !   MAG: Hydrogenophaga sp. isolate MAG_35 NODE_42681_length_2576_cov_90.066640, whole genome shotgun sequence
NC_021506.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   121376   121323      -    no    1 0.72   0.0   22.3   9.1e+02 !   Pseudomonas resinovorans NBRC 106553 plasmid pCAR1.3, complete sequence
NZ_LT629796.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1076428  1076375      -    no    1 0.72   0.0   22.3   9.1e+02 !   Pseudomonas mandelii strain LMG 21607 chromosome I
NZ_LT629796.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2776053  2776106      +    no    1 0.72   0.0   22.3   9.1e+02 !   Pseudomonas mandelii strain LMG 21607 chromosome I
NZ_LT629796.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5940582  5940529      -    no    1 0.72   0.0   22.3   9.1e+02 !   Pseudomonas mandelii strain LMG 21607 chromosome I
NZ_JACHNH010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4563991  4563948      -    no    1 0.82   0.4   22.3   9.1e+02 !   Actinoplanes digitatis strain DSM 43149 Ga0438908_01, whole genome shotgun sequence
NZ_VMSF01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2426774  2426723      -    no    1 0.81   1.4   22.3   9.1e+02 !   Leifsonia sp. AG29 AG29_Scf_1, whole genome shotgun sequence
NZ_BOQL01000087.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    13429    13383      -    no    1 0.72   0.0   22.3   9.1e+02 !   Actinoplanes auranticolor strain NBRC 12245 sequence087, whole genome shotgun sequence
NZ_VFIE01000018.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   446499   446461      -    no    1 0.67   0.0   22.3   9.1e+02 !   Nesterenkonia sp. Hz 6-5 Scaffold2, whole genome shotgun sequence
JAADHV010000127.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    69083    69140      +    no    1 0.53   0.0   22.3   9.1e+02 !   Deltaproteobacteria bacterium isolate M_MetaBat.211 contig-127_182, whole genome shotgun sequence
NZ_SZQA01000025.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14689    14748      +    no    1 0.77   0.5   22.3   9.1e+02 !   Herbidospora galbida strain NEAU-GS14 Scaffold25, whole genome shotgun sequence
NZ_RQIH01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   417618   417570      -    no    1 0.76   0.2   22.3   9.1e+02 !   Rhizobium sophoriradicis strain CCBAU 03470 Scaffold3_1, whole genome shotgun sequence
NZ_CP047650.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1975932  1975882      -    no    1 0.80   0.7   22.3   9.1e+02 !   Xylophilus rhododendri strain KACC 21265 chromosome, complete genome
VGEP01000025.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    61413    61458      +    no    1 0.74   0.0   22.3   9.1e+02 !   Alphaproteobacteria bacterium isolate K_Offshore_80m_m2_123 K_Offshore_80m_m2_123_Ga0194132_10000739, whole genome shotgun sequence
JACDBZ010000133.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7773     7827      +    no    1 0.64   0.0   22.3   9.1e+02 !   Chloroflexi bacterium isolate MGR_bin295 SD2897-2912_k127_4702742, whole genome shotgun sequence
NZ_BJYR01000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   198996   199045      +    no    1 0.82   1.0   22.3   9.1e+02 !   Novosphingobium sediminis strain NBRC 106119 sequence13, whole genome shotgun sequence
VAZT01000578.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7351     7396      +    no    1 0.74   0.0   22.3   9.1e+02 !   Alphaproteobacteria bacterium isolate AP_15 14_1009_09_20cm_scaffold_40401, whole genome shotgun sequence
NZ_QKKX01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   218220   218172      -    no    1 0.84   2.1   22.3   9.1e+02 !   Micromonospora sp. MW-13 c011, whole genome shotgun sequence
URNZ01000045.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      664      621      -    no    1 0.73   0.0   22.3   9.1e+02 !   uncultured Clostridiales bacterium isolate UMGS1178 genome assembly, contig: NODE_2576_length_16818_cov_4.677862, whole genome shotgun sequence
NZ_JACEHE010000017.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   173173   173118      -    no    1 0.77   0.1   22.3   9.1e+02 !   Streptomyces himalayensis subsp. himalayensis strain PSKA28 17, whole genome shotgun sequence
SHZD01000267.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm       25       49      321      347      +    no    1 0.78   0.0   22.3   9.1e+02 !   Myxococcales bacterium isolate Baikal-deep-G136 BACOMB-C57978, whole genome shotgun sequence
NZ_CAJFTY010000060.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    23829    23781      -    no    1 0.69   0.0   22.3   9.1e+02 !   Candidatus Metaruminococcus caecorum isolate Coassembly_mag_161, whole genome shotgun sequence
QDFQ01000004.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   120642   120599      -    no    1 0.61   0.0   22.3   9.1e+02 !   Arthrobacter sp. TPD3018 Contig_58, whole genome shotgun sequence
NZ_FOGO01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   138321   138261      -    no    1 0.74   0.0   22.3   9.1e+02 !   Streptomyces qinglanensis strain CGMCC 4.6825, whole genome shotgun sequence
CAINDP010000039.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24008    24044      +    no    1 0.81   0.1   22.3   9.1e+02 !   uncultured Myxococcales bacterium isolate Loclat_bin-06029 genome assembly, contig: bin-06029:039/273, whole genome shotgun sequence
NZ_KZ794573.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    60218    60272      +    no    1 0.71   0.0   22.3   9.1e+02 !   Xanthomonas hortorum pv. hederae strain WHRI 7744 scf_26617_6, whole genome shotgun sequence
JADHLS010000307.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      982      918      -    no    1 0.74   0.1   22.3   9.1e+02 !   MAG: Reyranella sp. isolate BS301-5m-G22 BS301-5m-sub-C2132, whole genome shotgun sequence
JADGNU010000145.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5168     5134      -    no    1 0.77   0.0   22.3   9.1e+02 !   Candidatus Aminicenantes bacterium isolate Chersky.35_14 contig-100_3841, whole genome shotgun sequence
NZ_FMYQ01000016.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    93300    93340      +    no    1 0.66   0.0   22.3   9.1e+02 !   Burkholderia sp. TNe-862, whole genome shotgun sequence
SKIX01000094.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4210     4169      -    no    1 0.64   0.0   22.3   9.1e+02 !   Marinospirillum sp. isolate CSBr16_78 CSBr16-31928, whole genome shotgun sequence
SKIX01000063.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2869     2910      +    no    1 0.64   0.0   22.3   9.1e+02 !   Marinospirillum sp. isolate CSBr16_78 CSBr16-68039, whole genome shotgun sequence
MKVV01000033.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9019     8953      -    no    1 0.73   0.1   22.3   9.1e+02 !   Pseudonocardia sp. 73-21 SCNpilot_cont_1000_p_scaffold_249, whole genome shotgun sequence
NZ_VFPQ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5007701  5007761      +    no    1 0.79   1.1   22.3   9.1e+02 !   Thermopolyspora flexuosa strain DSM 43186 Ga0197564_11, whole genome shotgun sequence
SSNA01000049.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5543     5500      -    no    1 0.68   0.0   22.3   9.1e+02 !   MAG: Bradyrhizobium sp. isolate LY.54 49, whole genome shotgun sequence
NZ_CP017946.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3764621  3764583      -    no    1 0.82   0.1   22.3   9.1e+02 !   Bosea sp. Tri-49 chromosome, complete genome
NZ_AONQ01000016.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    53388    53350      -    no    1 0.67   0.0   22.3   9.1e+02 !   Magnetospirillum caucaseum strain SO-1 contig00016, whole genome shotgun sequence
NZ_JAFCKB010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    56707    56746      +    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium manausense strain SZCCT0344 NODE_1, whole genome shotgun sequence
NZ_JAANIH010000040.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    64673    64712      +    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium campsiandrae strain INPA 394B NODE_40_length_81456_cov_22.759360, whole genome shotgun sequence
NZ_PPPT01000281.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3395     3434      +    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium guangdongense strain SM32 SM32_contig_282_1, whole genome shotgun sequence
NZ_CP030051.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   416461   416422      -    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium guangdongense strain CCBAU 51649 chromosome, complete genome
NZ_SGXS01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    71089    71128      +    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium sp. BK707 Ga0307699_113, whole genome shotgun sequence
NZ_FOQM01000024.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    70505    70466      -    no    1 0.60   0.0   22.3   9.1e+02 !   Bradyrhizobium sp. Gha, whole genome shotgun sequence
NZ_BMPW01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    55705    55650      -    no    1 0.71   0.0   22.3   9.1e+02 !   Actinoplanes campanulatus strain JCM 3059 sequence003, whole genome shotgun sequence
NZ_WBSL01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   661660   661712      +    no    1 0.77   1.2   22.3   9.1e+02 !   Deinococcus sp. SDU3-2 Scaffold1_1, whole genome shotgun sequence
USSJ01000010.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10737    10691      -    no    1 0.66   0.0   22.3   9.1e+02 !   uncultured Clostridia bacterium isolate UMGS2031 genome assembly, contig: NODE_4078_length_12608_cov_2.916833, whole genome shotgun sequence
PNNC01000070.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19457    19503      +    no    1 0.74   0.0   22.3   9.1e+02 !   Polaromonas sp. isolate BC.025 BC_1001423_23474, whole genome shotgun sequence
SKQW01000146.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12093    12132      +    no    1 0.75   0.0   22.3   9.1e+02 !   MAG: Rhodobiaceae bacterium isolate CSSed162cmA_458 CSSed16-2cmA-8000, whole genome shotgun sequence
NZ_JAAOTJ010000023.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    56918    56858      -    no    1 0.79   1.2   22.3   9.1e+02 !   Catellatospora methionotrophica strain IMSNU 22006 NODE_23, whole genome shotgun sequence
NZ_VNWN01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   601407   601466      +    no    1 0.63   0.0   22.3   9.1e+02 !   Sneathiella chinensis strain LMG23452 contig2, whole genome shotgun sequence
JADFDU010000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    35525    35578      +    no    1 0.70   0.0   22.3   9.1e+02 !   Rhodocyclaceae bacterium isolate QR_Bin.30 NODE_12_length_85627_cov_190.421, whole genome shotgun sequence
JADMJQ010000200.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3113     3062      -    no    1 0.75   0.0   22.3   9.1e+02 !   MAG: Paucibacter sp. isolate MAG_41 NODE_3375_length_11317_cov_4.485971, whole genome shotgun sequence
URHP01000003.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    34026    34084      +    no    1 0.59   0.0   22.3   9.1e+02 !   uncultured Clostridiales bacterium isolate UMGS1004 genome assembly, contig: NODE_54_length_52611_cov_5.823978, whole genome shotgun sequence
SCMY01000016.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   140697   140637      -    no    1 0.67   0.0   22.3   9.1e+02 !   Rhizobiales bacterium 2SD NODE_16_length_172761_cov_48.714917, whole genome shotgun sequence
NZ_BOMM01000036.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19445    19514      +    no    1 0.73   0.1   22.3   9.1e+02 !   Actinoplanes ferrugineus strain NBRC 15555 sequence036, whole genome shotgun sequence
DKKP01000175.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2278     2338      +    no    1 0.72   0.0   22.3   9.1e+02 !   TPA_asm: Anaerolineales bacterium UBA6663 UBA6663_contig_13901, whole genome shotgun sequence
NZ_CP022992.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    91184    91138      -    no    1 0.74   0.0   22.3   9.1e+02 !   Paraburkholderia aromaticivorans strain BN5 plasmid pBN2, complete sequence
REDH01000111.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    32538    32488      -    no    1 0.78   0.1   22.3   9.1e+02 !   Deltaproteobacteria bacterium isolate GEM2.Bin10 NODE_620_length_46797_cov_16.9692, whole genome shotgun sequence
NZ_JAEUWT010000006.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   176142   176203      +    no    1 0.71   0.0   22.3   9.2e+02 !   Skermanella rosea strain KEMB 2255-458 6, whole genome shotgun sequence
NZ_JADLJL010000012.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2788     2742      -    no    1 0.72   0.0   22.3   9.2e+02 !   Pseudomonas guariconensis strain 20-MO00619-0 contig00012, whole genome shotgun sequence
KK211086.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   558555   558492      -    no    1 0.77   1.4   22.3   9.2e+02 !   Geodermatophilaceae bacterium URHB0062 genomic scaffold N552DRAFT_scaffold00001.1, whole genome shotgun sequence
DIWP01000035.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    64806    64847      +    no    1 0.74   0.0   22.3   9.2e+02 !   TPA_asm: Thermoleophilia bacterium UBA6103 UBA6103_contig_8979, whole genome shotgun sequence
NZ_PKOJ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   522097   522151      +    no    1 0.69   0.0   22.3   9.2e+02 !   Amylibacter cionae strain m18 A-m18_1, whole genome shotgun sequence
NZ_AP023362.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   915338   915289      -    no    1 0.76   0.3   22.3   9.2e+02 !   Mycolicibacterium sp. TY81 chromosome, complete genome
NZ_SMKF01000099.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6655     6613      -    no    1 0.67   0.0   22.3   9.2e+02 !   Micromonospora sp. KC213 NODE_99_length_21668_cov_25.6722, whole genome shotgun sequence
VGDH01000055.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7470     7512      +    no    1 0.70   0.0   22.3   9.2e+02 !   Alphaproteobacteria bacterium isolate K_Offshore_40m_m1_238 K_Offshore_40m_m1_238_Ga0194133_10004309, whole genome shotgun sequence
JADJJE010000014.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    13306    13259      -    no    1 0.65   0.0   22.3   9.2e+02 !   Sandaracinaceae bacterium isolate Ejby_18-Q3-R6-50_BATAC.260 tig00003413-10-3460020, whole genome shotgun sequence
NZ_KB903985.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    77608    77560      -    no    1 0.67   0.0   22.3   9.2e+02 !   Nonomuraea coxensis DSM 45129 A3G7DRAFT_scaffold_5.6, whole genome shotgun sequence
JAAYYA010000092.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1475     1524      +    no    1 0.76   0.1   22.3   9.2e+02 !   Actinomycetales bacterium isolate AS06rmzACSIP_198 74919_AS06, whole genome shotgun sequence
NZ_JACCCC010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2287491  2287427      -    no    1 0.74   0.1   22.3   9.2e+02 !   Spinactinospora alkalitolerans strain CXB654 Ga0415162_01, whole genome shotgun sequence
NZ_LZSV01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    82591    82626      +    no    1 0.75   0.0   22.3   9.2e+02 !   Mycobacterium sp. 852014-50255_SCH5639931 contig_11, whole genome shotgun sequence
JAEUSW010000099.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8755     8807      +    no    1 0.75   0.0   22.3   9.2e+02 !   Flavobacteriales bacterium isolate new MAG-313 k141_2619269, whole genome shotgun sequence
WNKV01000011.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   109079   109047      -    no    1 0.79   0.0   22.3   9.2e+02 !   Rhodoplanes serenus strain DSM 18633 NODE_11_length_223967_cov_36.0089, whole genome shotgun sequence
