#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_RCZK01000006.1    -         nhaA-I               RF03057    cm        1       55   164146   164102      -    no    1 0.62   0.0   27.6        45 ?   Sphingomonas oligophenolica strain S5.1 scaffold6.1, whole genome shotgun sequence
NZ_CP019082.1        -         nhaA-I               RF03057    cm        1       55  1427460  1427399      -    no    1 0.73   0.2   27.6        46 ?   Paludisphaera borealis strain PX4 chromosome, complete genome
NZ_PDEA01000001.1    -         nhaA-I               RF03057    cm        1       55     9874     9803      -    no    1 0.68   0.2   27.6        46 ?   Comamonas terrigena strain FDAARGOS_394 pRIID_98.contig.0, whole genome shotgun sequence
NZ_CP077076.1        -         nhaA-I               RF03057    cm        1       55  3807900  3807958      +    no    1 0.73   0.1   27.6        46 ?   Pseudomonas fakonensis strain COW40 chromosome, complete genome
NZ_CM001368.1        -         nhaA-I               RF03057    cm        1       55  1795423  1795365      -    no    1 0.75   0.1   27.6        46 ?   Desulfovibrio carbinoliphilus subsp. oakridgensis strain FW-101-2B chromosome, whole genome shotgun sequence
NZ_BMTI01000008.1    -         nhaA-I               RF03057    cm        1       55   150204   150155      -    no    1 0.74   0.0   27.6        46 ?   Streptomyces griseomycini strain JCM 4382 sequence008, whole genome shotgun sequence
NZ_JACHJI010000007.1 -         nhaA-I               RF03057    cm        1       55   113491   113442      -    no    1 0.74   0.0   27.6        46 ?   Streptomyces griseostramineus strain CECT 3273 Ga0436948_07, whole genome shotgun sequence
NZ_FMIA01000002.1    -         nhaA-I               RF03057    cm        1       55  4966801  4966856      +    no    1 0.82   3.5   27.6        47 ?   Micromonospora yangpuensis strain DSM 45577, whole genome shotgun sequence
NC_013929.1          -         nhaA-I               RF03057    cm        1       55  4019531  4019590      +    no    1 0.77   0.3   27.5        47 ?   Streptomyces scabiei 87.22, complete sequence
NZ_BLKW01000002.1    -         nhaA-I               RF03057    cm        1       55   406457   406401      -    no    1 0.70   0.0   27.5        47 ?   Mycobacterium botniense strain JCM 17322 sequence2, whole genome shotgun sequence
NZ_VTOX01000002.1    -         nhaA-I               RF03057    cm        1       55   195710   195761      +    no    1 0.77   0.1   27.5        48 ?   Ramlibacter lithotrophicus strain RBP-1 Ga0265800_102, whole genome shotgun sequence
NZ_FUXL01000003.1    -         nhaA-I               RF03057    cm        1       55   282580   282528      -    no    1 0.74   0.0   27.5        48 ?   Consotaella salsifontis strain USBA 369, whole genome shotgun sequence
NZ_BDBL01000024.1    -         nhaA-I               RF03057    cm        1       55    59822    59768      -    no    1 0.75   0.1   27.5        48 ?   Nocardia kruczakiae NBRC 101016, whole genome shotgun sequence
NZ_VPFD01000015.1    -         nhaA-I               RF03057    cm        1       55   186559   186501      -    no    1 0.80   1.1   27.5        49 ?   Massilia sp. GEM5 GEM5_15_size285112, whole genome shotgun sequence
NZ_JAINUL010000001.1 -         nhaA-I               RF03057    cm        1       55  7820440  7820389      -    no    1 0.73   0.0   27.5        49 ?   Streptomyces flavotricini strain NGL1 Scaffold_1, whole genome shotgun sequence
NZ_JAFB01000037.1    -         nhaA-I               RF03057    cm        1       55    68036    67960      -    no    1 0.66   0.0   27.4        50 ?   Amycolatopsis taiwanensis DSM 45107 A3CUDRAFT_scaffold_31.32_C, whole genome shotgun sequence
NZ_JAAFZA010000103.1 -         nhaA-I               RF03057    cm        1       55    21880    21929      +    no    1 0.74   0.0   27.4        50 ?   Catenulispora pinisilvae strain NH11 NODE_103, whole genome shotgun sequence
NZ_CP051627.1        -         nhaA-I               RF03057    cm        1       55  1229099  1229160      +    no    1 0.79   2.1   27.4        50 ?   Thermobifida alba strain DSM 43795 chromosome, complete genome
NZ_JAERVO010000006.1 -         nhaA-I               RF03057    cm        1       55   214485   214424      -    no    1 0.65   0.0   27.4        50 ?   Marinobacter mangrovi strain CHFG3-1-5 NODE_6_length_316986_cov_67.494352, whole genome shotgun sequence
NZ_JAIGQB010000003.1 -         nhaA-I               RF03057    cm        1       55   314963   315027      +    no    1 0.72   1.3   27.4        50 ?   Nocardioides furvisabuli strain JCM 13813 NODE_3, whole genome shotgun sequence
NZ_BAFE01000094.1    -         nhaA-I               RF03057    cm        1       55    19327    19256      -    no    1 0.71   0.1   27.4        50 ?   Mobilicoccus pelagius NBRC 104925, whole genome shotgun sequence
NZ_CAACUY010000262.1 -         nhaA-I               RF03057    cm        1       55     3680     3638      -    no    1 0.72   0.0   27.4        52 ?   Actinomadura fibrosa isolate LMG 29177, whole genome shotgun sequence
NZ_NVQE01000007.1    -         nhaA-I               RF03057    cm        1       55   155345   155289      -    no    1 0.70   0.0   27.4        52 ?   Mycobacterium neglectum strain CECT 8778 NODE_7, whole genome shotgun sequence
NZ_RBXT01000001.1    -         nhaA-I               RF03057    cm        5       55  3024829  3024774      -    no    1 0.73   0.1   27.4        53 ?   Terracoccus luteus strain DSM 44267 Ga0197499_11, whole genome shotgun sequence
NZ_JADBEA010000001.1 -         nhaA-I               RF03057    cm        1       55  5521033  5521088      +    no    1 0.79   0.6   27.3        53 ?   Actinophytocola algeriensis strain DSM 46746 Ga0415166_01, whole genome shotgun sequence
NZ_BMYI01000005.1    -         nhaA-I               RF03057    cm        1       55    30616    30561      -    no    1 0.71   0.0   27.3        53 ?   Gemmobacter nanjingensis strain KCTC 23298 sequence05, whole genome shotgun sequence
NZ_BMKU01000001.1    -         nhaA-I               RF03057    cm        1       55   389390   389328      -    no    1 0.78   0.8   27.3        53 ?   Pseudarthrobacter polychromogenes strain CGMCC 1.1927 sequence01, whole genome shotgun sequence
NZ_WTUX01000019.1    -         nhaA-I               RF03057    cm        1       55   385061   385126      +    no    1 0.79   2.6   27.3        53 ?   Maritimibacter harenae strain DP07 scaffold19, whole genome shotgun sequence
NZ_SJKA01000002.1    -         nhaA-I               RF03057    cm        1       55   723475   723419      -    no    1 0.75   0.1   27.3        53 ?   Kribbella sindirgiensis strain DSM 27082 NODE_2_length_781636_cov_15.4431_ID_4306, whole genome shotgun sequence
NZ_CP022295.1        -         nhaA-I               RF03057    cm        1       55  5233587  5233520      -    no    1 0.79   3.0   27.3        54 ?   Nocardioides aromaticivorans strain IC177 chromosome, complete genome
NZ_JABEQE010000022.1 -         nhaA-I               RF03057    cm        1       55    55693    55610      -    no    1 0.57   0.0   27.3        55 ?   Gluconacetobacter asukensis strain LMG 27724 contig00022, whole genome shotgun sequence
NZ_BBXE01000033.1    -         nhaA-I               RF03057    cm        1       55    13555    13508      -    no    1 0.77   0.1   27.3        55 ?   Herbidospora yilanensis strain NBRC 106371, whole genome shotgun sequence
NZ_BMQM01000004.1    -         nhaA-I               RF03057    cm        1       55    74728    74653      -    no    1 0.72   0.1   27.3        55 ?   Deinococcus seoulensis strain JCM 31404 sequence04, whole genome shotgun sequence
NZ_BMQO01000012.1    -         nhaA-I               RF03057    cm        1       55    78776    78851      +    no    1 0.72   0.1   27.3        55 ?   Deinococcus knuensis strain JCM 31406 sequence12, whole genome shotgun sequence
NZ_JACYXC010000001.1 -         nhaA-I               RF03057    cm        1       55  2577653  2577592      -    no    1 0.84   8.2   27.3        55 ?   Streptomyces pactum strain ATCC 27456 Spactum_1, whole genome shotgun sequence
NZ_LN648875.1        -         nhaA-I               RF03057    cm        1       55   407796   407745      -    no    1 0.73   0.1   27.2        56 ?   Microbacterium gorillae strain G3, whole genome shotgun sequence
NZ_BOOJ01000052.1    -         nhaA-I               RF03057    cm        1       55   118494   118442      -    no    1 0.75   0.1   27.2        56 ?   Planobispora siamensis strain NBRC 107568 sequence052, whole genome shotgun sequence
NZ_FNJH01000003.1    -         nhaA-I               RF03057    cm        1       55   188055   187993      -    no    1 0.65   0.0   27.2        56 ?   Pseudomonas congelans strain DSM 14939, whole genome shotgun sequence
NZ_FCOY01000007.1    -         nhaA-I               RF03057    cm        1       55   693701   693743      +    no    1 0.72   0.0   27.2        57 ?   Xanthomonas massiliensis strain SN8, whole genome shotgun sequence
NZ_RXMA01000006.1    -         nhaA-I               RF03057    cm        1       55   192500   192452      -    no    1 0.69   0.0   27.2        57 ?   Azospirillum griseum strain L-25-5 w-1 Scaffold6, whole genome shotgun sequence
NZ_LPVS01000070.1    -         nhaA-I               RF03057    cm        1       55    28088    28153      +    no    1 0.68   0.0   27.2        57 ?   Mesorhizobium silamurunense strain CCBAU 45272 scaffold64, whole genome shotgun sequence
NZ_BMQC01000001.1    -         nhaA-I               RF03057    cm        1       55   543063   543020      -    no    1 0.82   0.7   27.2        57 ?   Pilimelia terevasa strain JCM 3091 sequence01, whole genome shotgun sequence
NZ_SPVG01000053.1    -         nhaA-I               RF03057    cm        1       55      951     1006      +    no    1 0.73   0.0   27.2        57 ?   Duganella callida strain DN04 EFN1C9WQ1J, whole genome shotgun sequence
NZ_JAKZHV010000006.1 -         nhaA-I               RF03057    cm        1       55   109785   109748      -    no    1 0.76   0.8   27.2        58 ?   Arsenicicoccus piscis strain DSM 22760 6, whole genome shotgun sequence
NZ_KL571061.1        -         nhaA-I               RF03057    cm        1       55    15994    15948      -    no    1 0.77   0.1   27.2        58 ?   Streptomyces monomycini strain NRRL B-24309 P063_Doro1_scaffold11, whole genome shotgun sequence
NZ_VOJI01000001.1    -         nhaA-I               RF03057    cm        1       55   545920   545861      -    no    1 0.70   0.0   27.2        59 ?   Puniceibacterium confluentis strain JSSK-17 52765_scaffold1, whole genome shotgun sequence
NZ_FTNF01000017.1    -         nhaA-I               RF03057    cm        1       55    76955    76867      -    no    1 0.73   0.4   27.1        59 ?   Micromonospora avicenniae strain DSM 45758, whole genome shotgun sequence
NZ_BONC01000020.1    -         nhaA-I               RF03057    cm        1       55    66607    66555      -    no    1 0.77   0.6   27.1        59 ?   Asanoa iriomotensis strain NBRC 100142 sequence020, whole genome shotgun sequence
NZ_RJKX01000011.1    -         nhaA-I               RF03057    cm        1       55   116166   116217      +    no    1 0.73   0.3   27.1        60 ?   Stella humosa strain DSM 5900 Ga0244656_101, whole genome shotgun sequence
NZ_KQ948155.1        -         nhaA-I               RF03057    cm        1       55   140547   140498      -    no    1 0.74   0.2   27.1        60 ?   Streptomyces pseudovenezuelae strain DSM 40212 PRJNA299220_s012, whole genome shotgun sequence
NZ_BMPQ01000038.1    -         nhaA-I               RF03057    cm        1       55    42513    42465      -    no    1 0.78   0.3   27.1        60 ?   Streptomyces flaveus strain JCM 3035 sequence038, whole genome shotgun sequence
NZ_CP065670.1        -         nhaA-I               RF03057    cm        1       55  3180994  3181048      +    no    1 0.78   0.3   27.1        60 ?   Sphingomonas paucimobilis strain FDAARGOS_908 chromosome, complete genome
NZ_LT629766.1        -         nhaA-I               RF03057    cm        1       55  2314113  2314061      -    no    1 0.75   0.2   27.1        60 ?   Brevibacterium siliguriense strain DSM 23676 chromosome I
NZ_JNZG01000030.1    -         nhaA-I               RF03057    cm        1       55    58051    58143      +    no    1 0.72   0.4   27.1        60 ?   Streptomyces erythrochromogenes strain NRRL B-2112 contig26.1, whole genome shotgun sequence
NZ_CP011509.1        -         nhaA-I               RF03057    cm        1       55  8301294  8301219      -    no    1 0.68   0.0   27.1        60 ?   Archangium gephyra strain DSM 2261 chromosome, complete genome
NZ_QOIN01000042.1    -         nhaA-I               RF03057    cm        1       55    80455    80518      +    no    1 0.80   4.7   27.1        61 ?   Streptomyces diacarni strain LHW51701 NODE_6_length_367524_cov_12.6396_ID_11, whole genome shotgun sequence
NZ_BMTI01000008.1    -         nhaA-I               RF03057    cm        1       55   288913   288877      -    no    1 0.73   0.0   27.1        61 ?   Streptomyces griseomycini strain JCM 4382 sequence008, whole genome shotgun sequence
NZ_JACHJI010000007.1 -         nhaA-I               RF03057    cm        1       55   242011   241975      -    no    1 0.73   0.0   27.1        61 ?   Streptomyces griseostramineus strain CECT 3273 Ga0436948_07, whole genome shotgun sequence
NZ_FRBI01000004.1    -         nhaA-I               RF03057    cm        1       55     9340     9287      -    no    1 0.78   0.8   27.1        61 ?   Streptomyces paucisporeus strain CGMCC 4.2025, whole genome shotgun sequence
NZ_CP022111.1        -         nhaA-I               RF03057    cm        1       55  1882237  1882176      -    no    1 0.76   0.2   27.1        61 ?   Nitrospirillum amazonense CBAmc chromosome 2, complete sequence
NZ_LBHJ01000019.1    -         nhaA-I               RF03057    cm        1       55    60592    60645      +    no    1 0.78   1.1   27.1        62 ?   Silvibacterium bohemicum strain S15 contig_28, whole genome shotgun sequence
NZ_BOMR01000071.1    -         nhaA-I               RF03057    cm        1       55   111375   111425      +    no    1 0.80   0.7   27.1        62 ?   Actinoplanes octamycinicus strain NBRC 14524 sequence071, whole genome shotgun sequence
NZ_VFMM01000001.1    -         nhaA-I               RF03057    cm        1       55  1867668  1867710      +    no    1 0.67   0.0   27.0        62 ?   Kribbella jejuensis strain DSM 17305 Ga0197573_11, whole genome shotgun sequence
NZ_CP018074.1        -         nhaA-I               RF03057    cm        1       55  3246109  3246153      +    no    1 0.82   0.6   27.0        62 ?   Streptomyces venezuelae strain NRRL B-65442 chromosome
NZ_FAOZ01000001.1    -         nhaA-I               RF03057    cm        1       55   478214   478265      +    no    1 0.75   1.4   27.0        62 ?   Frankia irregularis strain DSM 45899, whole genome shotgun sequence
NZ_CP028913.1        -         nhaA-I               RF03057    cm        1       55  2119596  2119517      -    no    1 0.74   0.7   27.0        62 ?   Agromyces badenianii strain MF30-A chromosome, complete genome
NZ_ARXR01000016.1    -         nhaA-I               RF03057    cm        1       55    34513    34465      -    no    1 0.78   0.1   27.0        63 ?   Alcanivorax venustensis ISO4 contig16, whole genome shotgun sequence
NZ_BBPO01000127.1    -         nhaA-I               RF03057    cm       28       55    14129    14103      -    no    2 0.85   0.1   27.0        63 ?   Streptacidiphilus neutrinimicus strain NBRC 100921, whole genome shotgun sequence
NZ_BMNC01000001.1    -         nhaA-I               RF03057    cm        1       55   432501   432556      +    no    1 0.73   0.0   27.0        64 ?   Lentzea pudingi strain CGMCC 4.7319 sequence01, whole genome shotgun sequence
NZ_WIXO01000001.1    -         nhaA-I               RF03057    cm        1       55  4600318  4600372      +    no    1 0.82   2.4   27.0        64 ?   Streptomyces taklimakanensis strain TRM43335 Contig00001, whole genome shotgun sequence
NZ_BJYZ01000014.1    -         nhaA-I               RF03057    cm        1       55   112865   112786      -    no    1 0.68   0.0   27.0        64 ?   Skermanella aerolata strain NBRC 106429 sequence014, whole genome shotgun sequence
NZ_JOAK01000020.1    -         nhaA-I               RF03057    cm        1       55    89375    89283      -    no    1 0.72   0.4   27.0        65 ?   Streptomyces virginiae strain NRRL ISP-5094 contig20.1, whole genome shotgun sequence
NZ_AP022254.1        -         nhaA-I               RF03057    cm        1       55  1128185  1128234      +    no    1 0.70   0.0   27.0        65 ?   Aeromonas caviae strain WP8-S18-ESBL-04 chromosome, complete genome
NZ_JACIDT010000001.1 -         nhaA-I               RF03057    cm        1       55    15748    15686      -    no    1 0.75   0.1   27.0        65 ?   Sphingobium jiangsuense strain DSM 26189 Ga0373239_01, whole genome shotgun sequence
NZ_BNAR01000021.1    -         nhaA-I               RF03057    cm        1       55    64480    64418      -    no    1 0.76   0.5   27.0        66 ?   Lentzea cavernae strain CGMCC 4.7367 sequence21, whole genome shotgun sequence
NZ_LT594323.1        -         nhaA-I               RF03057    cm        1       55  3331322  3331377      +    no    1 0.73   0.0   26.9        66 ?   Micromonospora auratinigra strain DSM 44815 chromosome I
NZ_SCNN01000022.1    -         nhaA-I               RF03057    cm        1       55    65699    65643      -    no    1 0.75   0.1   26.9        66 ?   Mesorhizobium comanense strain 3P27G6 NODE_22_length_97903_cov_8.997515, whole genome shotgun sequence
NZ_AUHE01000011.1    -         nhaA-I               RF03057    cm        1       55    14434    14389      -    no    1 0.78   0.1   26.9        66 ?   Gordonia shandongensis DSM 45094 G528DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_AP022618.1        -         nhaA-I               RF03057    cm        1       55  1383035  1382982      -    no    1 0.74   0.0   26.9        66 ?   Mycolicibacterium insubricum strain JCM 16366 chromosome
NZ_CP026952.1        -         nhaA-I               RF03057    cm        1       55  2542354  2542412      +    no    1 0.78   1.7   26.9        67 ?   Aeromicrobium chenweiae strain 592 chromosome, complete genome
NZ_CP014859.1        -         nhaA-I               RF03057    cm        1       55  5979180  5979237      +    no    1 0.72   0.1   26.9        67 ?   Actinoalloteichus hymeniacidonis strain HPA177(T) (=DSM 45092(T)) chromosome, complete genome
NZ_CP048261.1        -         nhaA-I               RF03057    cm        1       55  3104361  3104398      +    no    1 0.82   0.2   26.9        67 ?   Streptomyces rimosus subsp. rimosus ATCC 10970 chromosome, complete genome
NZ_JOFQ01000011.1    -         nhaA-I               RF03057    cm        1       55    63591    63628      +    no    1 0.82   0.2   26.9        67 ?   Streptomyces niger strain NRRL B-3857 contig11.1, whole genome shotgun sequence
NZ_CP019457.1        -         nhaA-I               RF03057    cm        1       55  2952944  2952981      +    no    1 0.82   0.2   26.9        67 ?   Streptomyces lydicus strain GS93 isolate 23 chromosome, complete genome
NZ_CP084681.1        -         nhaA-I               RF03057    cm        1       55  3528730  3528767      +    no    1 0.82   0.2   26.9        67 ?   Streptomyces inhibens strain NRRL30439 chromosome, complete genome
NZ_NDXL01000003.1    -         nhaA-I               RF03057    cm        1       55  1399955  1399918      -    no    1 0.82   0.2   26.9        67 ?   Streptomyces kasugaensis strain BCRC 12349 scaffold3, whole genome shotgun sequence
NZ_JACCHQ010000012.1 -         nhaA-I               RF03057    cm        1       55    84623    84694      +    no    1 0.69   0.0   26.9        68 ?   Bradyrhizobium glycinis strain CNPSo 4016 scaffold_11, whole genome shotgun sequence
NZ_SOCP01000035.1    -         nhaA-I               RF03057    cm        1       55     4700     4754      +    no    1 0.78   0.4   26.9        68 ?   Actinophytocola oryzae strain DSM 45499 Ga0181036_135, whole genome shotgun sequence
NZ_CP040915.1        -         nhaA-I               RF03057    cm        1       55  1508121  1508188      +    no    1 0.72   0.2   26.9        69 ?   Georgenia yuyongxinii strain Z443 chromosome, complete genome
NZ_NHSK01000128.1    -         nhaA-I               RF03057    cm        1       55    22475    22426      -    no    1 0.84   3.4   26.9        69 ?   Rhodoplanes elegans strain DSM 11907 scaffold0128, whole genome shotgun sequence
NZ_LT546170.1        -         nhaA-I               RF03057    cm        1       55   847827   847768      -    no    1 0.70   0.0   26.9        69 ?   Mycolicibacter icosiumassiliensis strain 8WA6, whole genome shotgun sequence
NZ_JAJFOE010000001.1 -         nhaA-I               RF03057    cm        1       55  5215100  5215042      -    no    1 0.71   0.0   26.8        70 ?   Nocardia africana strain FDAARGOS_1597 ctg.s1.000000F_arrow_pilon, whole genome shotgun sequence
NZ_CP022521.1        -         nhaA-I               RF03057    cm        1       55  4822465  4822512      +    no    1 0.79   0.2   26.8        70 ?   Actinoalloteichus hoggarensis strain DSM 45943 chromosome, complete genome
NC_013757.1          -         nhaA-I               RF03057    cm        1       55  3741185  3741130      -    no    1 0.77   0.1   26.8        70 ?   Geodermatophilus obscurus DSM 43160, complete sequence
NZ_BMMH01000024.1    -         nhaA-I               RF03057    cm        1       55    20544    20583      +    no    1 0.80   0.1   26.8        70 ?   Nocardia jinanensis strain CGMCC 4.3508 sequence24, whole genome shotgun sequence
NZ_NKUB01000031.1    -         nhaA-I               RF03057    cm        1       55     4032     4103      +    no    1 0.69   0.0   26.8        70 ?   Komagataeibacter swingsii strain LMG 22125 NODE_31_length_28704_cov_89.1519_ID_13118, whole genome shotgun sequence
NZ_CP047045.1        -         nhaA-I               RF03057    cm        1       55   794309   794250      -    no    1 0.68   0.0   26.8        70 ?   Terricaulis silvestris strain 0127_4 chromosome, complete genome
NZ_BCRN01000037.1    -         nhaA-I               RF03057    cm        1       55     1989     2047      +    no    1 0.73   0.0   26.8        70 ?   Millisia brevis NBRC 105863, whole genome shotgun sequence
NZ_CP027306.1        -         nhaA-I               RF03057    cm        1       55  1310311  1310236      -    no    1 0.68   0.0   26.8        70 ?   Streptomyces atratus strain SCSIO_ZH16 chromosome, complete genome
NZ_JQNR01000002.1    -         nhaA-I               RF03057    cm        1       55    67730    67665      -    no    1 0.79   2.1   26.8        71 ?   Streptomyces yeochonensis CN732 BS72DRAFT_unitig_2_quiver.2_C, whole genome shotgun sequence
NZ_JACIGK010000003.1 -         nhaA-I               RF03057    cm        1       55   208166   208221      +    no    1 0.68   0.0   26.8        71 ?   Roseospira visakhapatnamensis strain JA131 Ga0394287_03, whole genome shotgun sequence
NZ_FZOR01000038.1    -         nhaA-I               RF03057    cm        1       55    48756    48812      +    no    1 0.75   0.2   26.8        71 ?   Actinomadura meyerae strain DSM 44715, whole genome shotgun sequence
NZ_CP063373.1        -         nhaA-I               RF03057    cm        1       55  7168106  7168146      +    no    1 0.83   1.6   26.8        71 ?   Streptomyces ferrugineus strain CCTCC AA2014009 chromosome, complete genome
NZ_MBPN01000015.1    -         nhaA-I               RF03057    cm        1       55    22613    22683      +    no    1 0.75   0.2   26.8        71 ?   Pseudomonas defluvii strain WCHP16 NODE_15_length_71250_cov_41.1963, whole genome shotgun sequence
NZ_BCXA01000017.1    -         nhaA-I               RF03057    cm        1       55   110299   110333      +    no    1 0.74   0.0   26.8        72 ?   Rhodococcus maanshanensis NBRC 100610, whole genome shotgun sequence
NZ_FWXF01000008.1    -         nhaA-I               RF03057    cm        1       55   138266   138331      +    no    1 0.76   0.3   26.8        72 ?   Desulfacinum hydrothermale DSM 13146, whole genome shotgun sequence
NZ_NJIH01000004.1    -         nhaA-I               RF03057    cm        1       55   509124   509181      +    no    1 0.76   0.2   26.8        72 ?   Candidimonas nitroreducens strain SC-089 Scaffold3_1, whole genome shotgun sequence
NZ_JACIIZ010000011.1 -         nhaA-I               RF03057    cm        1       55   193726   193670      -    no    1 0.70   0.0   26.8        72 ?   Nitrospirillum iridis strain DSM 22198 Ga0373326_11, whole genome shotgun sequence
NZ_RYFW01000001.1    -         nhaA-I               RF03057    cm        1       55  3165949  3165861      -    no    1 0.63   0.0   26.8        72 ?   Steroidobacter agariperforans strain KA5-B Scaffold1_1, whole genome shotgun sequence
NZ_CP026100.1        -         nhaA-I               RF03057    cm        1       55  4900139  4900190      +    no    1 0.75   0.1   26.8        72 ?   Caulobacter flavus strain RHGG3 chromosome, complete genome
NZ_JAAVJC010000443.1 -         nhaA-I               RF03057    cm        1       55     1218     1159      -    no    1 0.70   0.0   26.8        72 ?   Streptomyces bohaiensis strain 11A07 NODE_443_length_2446_cov_78.634409, whole genome shotgun sequence
NZ_QXGS01000005.1    -         nhaA-I               RF03057    cm        1       55   120690   120639      -    no    1 0.65   0.0   26.8        72 ?   Roseomonas vastitatis strain CPCC 101021 Scaffold5, whole genome shotgun sequence
NZ_BIMR01000026.1    -         nhaA-I               RF03057    cm        1       55    17589    17645      +    no    1 0.75   0.2   26.8        73 ?   Cellulomonas biazotea strain NBRC12680 sequence026, whole genome shotgun sequence
NZ_CP067022.1        -         nhaA-I               RF03057    cm        1       55  3420753  3420704      -    no    1 0.52   0.1   26.8        73 ?   Pseudomonas cannabina pv. alisalensis strain MAFF 301419 chromosome, complete genome
NZ_CP011129.1        -         nhaA-I               RF03057    cm        1       55   104631   104685      +    no    1 0.78   0.4   26.8        73 ?   Lysobacter antibioticus strain 76 chromosome, complete genome
NZ_QTSU01000003.1    -         nhaA-I               RF03057    cm        1       55   398786   398840      +    no    1 0.78   0.4   26.8        73 ?   Lysobacter silvisoli strain zong2l5 contig3, whole genome shotgun sequence
NZ_AP014940.1        -         nhaA-I               RF03057    cm        1       55  1202271  1202206      -    no    1 0.71   0.1   26.8        73 ?   Lysobacter enzymogenes strain M497-1 chromosome, complete genome
NZ_BNBN01000005.1    -         nhaA-I               RF03057    cm        1       55   566589   566645      +    no    1 0.79   0.9   26.7        74 ?   Streptomyces candidus strain JCM 4629 sequence05, whole genome shotgun sequence
NZ_POAF01000006.1    -         nhaA-I               RF03057    cm        1       55   213215   213168      -    no    1 0.69   0.0   26.7        74 ?   Glutamicibacter soli strain NHPC-3 NODE_6_length_348699_cov_24.0568, whole genome shotgun sequence
NZ_AUDI01000015.1    -         nhaA-I               RF03057    cm        1       55    72666    72718      +    no    1 0.57   0.0   26.7        74 ?   Pseudoduganella violaceinigra DSM 15887 H597DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_BMDG01000005.1    -         nhaA-I               RF03057    cm        1       55   314530   314603      +    no    1 0.76   0.9   26.7        74 ?   Isoptericola cucumis strain CCM 8653 sequence05, whole genome shotgun sequence
NZ_VFOQ01000001.1    -         nhaA-I               RF03057    cm        1       55  2290475  2290425      -    no    1 0.75   0.2   26.7        74 ?   Oryzihumus leptocrescens strain DSM 18082 Ga0197546_11, whole genome shotgun sequence
NZ_VMNK01000007.1    -         nhaA-I               RF03057    cm        1       55   166889   166839      -    no    1 0.76   0.1   26.7        74 ?   Denitromonas halophilus strain SFB-3 k141_79, whole genome shotgun sequence
NZ_BMVQ01000005.1    -         nhaA-I               RF03057    cm        1       55    53757    53809      +    no    1 0.74   0.8   26.7        75 ?   Streptomyces anthocyanicus strain JCM 4739 sequence05, whole genome shotgun sequence
NZ_JACHHP010000004.1 -         nhaA-I               RF03057    cm        1       55   238842   238911      +    no    1 0.74   0.6   26.7        75 ?   Chiayiivirga flava strain DSM 24163 Ga0415248_04, whole genome shotgun sequence
NZ_JYFN01000020.1    -         nhaA-I               RF03057    cm        1       55   110302   110247      -    no    1 0.80   2.4   26.7        75 ?   Frankia torreyi strain CpI1 FF36_scaffold_19.20, whole genome shotgun sequence
NZ_BAGJ01000268.1    -         nhaA-I               RF03057    cm        1       55    11192    11149      -    no    1 0.80   0.2   26.7        75 ?   Nocardia testacea NBRC 100365, whole genome shotgun sequence
NZ_BMML01000031.1    -         nhaA-I               RF03057    cm        1       55    85833    85885      +    no    1 0.75   0.1   26.7        75 ?   Streptomyces fuscichromogenes strain CGMCC 4.7110 sequence031, whole genome shotgun sequence
NZ_BBOJ01000034.1    -         nhaA-I               RF03057    cm        1       55      244      166      -    no    1 0.73   2.1   26.7        76 ?   Lentzea aerocolonigenes strain NBRC 13195, whole genome shotgun sequence
NZ_BBOJ01000028.1    -         nhaA-I               RF03057    cm        1       55      185      107      -    no    1 0.73   2.1   26.7        76 ?   Lentzea aerocolonigenes strain NBRC 13195, whole genome shotgun sequence
NZ_BBOJ01000007.1    -         nhaA-I               RF03057    cm        1       55   445876   445954      +    no    1 0.73   2.1   26.7        76 ?   Lentzea aerocolonigenes strain NBRC 13195, whole genome shotgun sequence
NZ_JACJIA010000020.1 -         nhaA-I               RF03057    cm        1       55    21057    21109      +    no    1 0.75   0.1   26.7        76 ?   Actinomadura namibiensis strain DSM 44197 Ga0415225_20, whole genome shotgun sequence
NZ_BCQR01000054.1    -         nhaA-I               RF03057    cm        1       55    49520    49572      +    no    1 0.75   0.1   26.7        76 ?   Actinomadura kijaniata NBRC 14229, whole genome shotgun sequence
NZ_KB889682.1        -         nhaA-I               RF03057    cm        1       55   104174   104125      -    no    1 0.78   1.5   26.7        76 ?   Embleya scabrispora DSM 41855 A3ICDRAFT_scaffold_36.37, whole genome shotgun sequence
NZ_NSET01000021.1    -         nhaA-I               RF03057    cm        1       55   151167   151116      -    no    1 0.73   0.0   26.7        76 ?   Xanthomonas maliensis strain LMG 27592 LMG27592_contig_21, whole genome shotgun sequence
