#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_MZGT01000054.1    -         Sodium               RF03071    cm        1       55     4934     4990      +    no    1 0.37   0.0   66.8     1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence
NZ_FQYT01000012.1    -         Sodium               RF03071    cm        1       55    77543    77489      -    no    1 0.49   0.0   41.7     0.025 ?   Parasporobacterium paucivorans DSM 15970, whole genome shotgun sequence
WRED01000076.1       -         Sodium               RF03071    cm        1       55     2264     2312      +    no    1 0.45   0.0   41.7     0.025 ?   Oscillospiraceae bacterium isolate Lab288P3bin47 Ga0123353_10226220, whole genome shotgun sequence
NZ_AUIQ01000001.1    -         Sodium               RF03071    cm        1       55   128234   128279      +    no    1 0.52   0.0   41.6     0.025 ?   Tetragenococcus muriaticus DSM 15685 G577DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_CP061336.1        -         Sodium               RF03071    cm        1       55  1232571  1232506      -    no    1 0.41   0.0   41.6     0.025 ?   Ruminiclostridium herbifermentans strain MA18 chromosome, complete genome
NZ_BJDX01000003.1    -         Sodium               RF03071    cm        1       55    86761    86808      +    no    1 0.54   0.0   41.6     0.026 ?   Enterococcus xiangfangensis strain 11097 contig3, whole genome shotgun sequence
NZ_BJDP01000006.1    -         Sodium               RF03071    cm        1       55    88032    88079      +    no    1 0.54   0.0   41.6     0.026 ?   Enterococcus pingfangensis strain 241-2-2 contig6, whole genome shotgun sequence
NZ_CAKC01000038.1    -         Sodium               RF03071    cm        1       55     5479     5528      +    no    1 0.50   0.0   41.6     0.026 ?   Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85 strain type strain: CRBIP 24.85, whole genome shotgun sequence
NZ_JAFLVR010000002.1 -         Sodium               RF03071    cm        1       55    37709    37756      +    no    1 0.52   0.0   41.6     0.026 ?   Enterococcus sp. MJM16 scaffold3.2, whole genome shotgun sequence
NZ_BJED01000010.1    -         Sodium               RF03071    cm        1       55   127501   127548      +    no    1 0.52   0.0   41.6     0.026 ?   Enterococcus hulanensis strain 190-7 scaffold10, whole genome shotgun sequence
NZ_JXLA01000026.1    -         Sodium               RF03071    cm        1       55    44312    44265      -    no    1 0.52   0.0   41.6     0.026 ?   Enterococcus raffinosus strain DSM 5633 Scaffold26, whole genome shotgun sequence
NZ_JAAMNG010000027.1 -         Sodium               RF03071    cm        1       55     7517     7575      +    no    1 0.41   0.0   41.5     0.028 ?   Clostridium estertheticum strain FP4 scaffold_26, whole genome shotgun sequence
DTFZ01000137.1       -         Sodium               RF03071    cm        1       55     2858     2807      -    no    1 0.62   0.0   41.4     0.028 ?   TPA_asm: Clostridia bacterium isolate SpSt-750 Ga0123519_10046107, whole genome shotgun sequence
WRFK01000133.1       -         Sodium               RF03071    cm        1       55      603      525      -    no    1 0.39   0.0   41.4      0.03 ?   Spirochaetaceae bacterium isolate Lab288P4bin6 Ga0123354_10069216, whole genome shotgun sequence
NZ_RHOV01000011.1    -         Sodium               RF03071    cm        1       55    39620    39665      +    no    1 0.48   0.0   41.3     0.031 ?   Lactobacillus achengensis strain 247-4 contig11, whole genome shotgun sequence
DXBN01000125.1       -         Sodium               RF03071    cm        1       55    14854    14902      +    no    1 0.43   0.0   41.2     0.032 ?   MAG TPA_asm: Candidatus Enterococcus avicola isolate CHK172-16539 CHK172__C169710_L18662_SAMEA104467486, whole genome shotgun sequence
NZ_BMDT01000001.1    -         Sodium               RF03071    cm        1       55   447725   447773      +    no    1 0.43   0.0   41.2     0.032 ?   Enterococcus alcedinis strain CCM 8433 sequence01, whole genome shotgun sequence
WQVZ01000026.1       -         Sodium               RF03071    cm        1       55     1353     1297      -    no    1 0.49   0.0   41.2     0.032 ?   MAG: Defluviitaleaceae bacterium isolate Emb289P1bin53 Ga0123355_10002873, whole genome shotgun sequence
LR778135.1           -         Sodium               RF03071    cm        1       55  3190426  3190480      +    no    1 0.44   0.0   41.2     0.032 ?   Clostridiales bacterium isolate BL-6 genome assembly, chromosome: CLOSBL6
NZ_JQBR01000002.1    -         Sodium               RF03071    cm        1       55    55930    55977      +    no    1 0.50   0.0   41.1     0.034 ?   Pediococcus cellicola strain DSM 17757 Scaffold2, whole genome shotgun sequence
NZ_JAEEGA010000018.1 -         Sodium               RF03071    cm        1       55   120505   120457      -    no    1 0.49   0.0   41.0     0.037 ?   Vagococcus sp. BWB3-3 contig18, whole genome shotgun sequence
WRHM01000012.1       -         Sodium               RF03071    cm        1       55    36182    36230      +    no    1 0.43   0.0   41.0     0.037 ?   Oscillospiraceae bacterium isolate Nt197P3bin116 Ga0082212_10000370, whole genome shotgun sequence
NC_015391.1          -         Sodium               RF03071    cm        1       55   988748   988796      +    no    1 0.45   0.0   41.0     0.038 ?   Carnobacterium sp. 17-4, complete sequence
NZ_UWOP01000001.1    -         Sodium               RF03071    cm        1       55    11633    11681      +    no    1 0.45   0.0   40.8      0.04 ?   Enterococcus mediterraneensis strain Marseille-P4358, whole genome shotgun sequence
DLJZ01000008.1       -         Sodium               RF03071    cm        1       55    55975    56039      +    no    1 0.42   0.1   40.7     0.045 ?   MAG TPA_asm: Hungatella sp. UBA7603 UBA7603_contig_210, whole genome shotgun sequence
JAFSYJ010000032.1    -         Sodium               RF03071    cm        1       55    39241    39191      -    no    1 0.45   0.0   40.6     0.045 ?   Clostridia bacterium isolate RGIG3586 Goat_Rumen.Co__c2200350, whole genome shotgun sequence
NC_015516.1          -         Sodium               RF03071    cm        1       55   445353   445304      -    no    1 0.42   0.0   40.6     0.046 ?   Melissococcus plutonius ATCC 35311, complete sequence
NZ_JAFBET010000010.1 -         Sodium               RF03071    cm        1       55   116720   116672      -    no    1 0.45   0.0   40.6     0.046 ?   Enterococcus diestrammenae strain DSM 29072 Ga0454064_10, whole genome shotgun sequence
DUSN01000035.1       -         Sodium               RF03071    cm        1       55    36146    36089      -    no    1 0.50   0.0   40.5     0.051 ?   MAG TPA_asm: Clostridiales bacterium isolate AS04akNAM_22 27512_AS04, whole genome shotgun sequence
NZ_JGZE01000018.1    -         Sodium               RF03071    cm        1       55    50429    50379      -    no    1 0.53   0.0   40.4     0.053 ?   Bifidobacterium mongoliense DSM 21395 Contig18, whole genome shotgun sequence
NZ_QPJV01000002.1    -         Sodium               RF03071    cm        1       55    17315    17271      -    no    1 0.56   0.0   40.3     0.057 ?   Vagococcus fluvialis strain DSM 5731 Ga0244517_102, whole genome shotgun sequence
NZ_JQBY01000002.1    -         Sodium               RF03071    cm        1       55    45628    45675      +    no    1 0.48   0.0   40.1      0.06 ?   Pediococcus ethanolidurans strain DSM 22301 Scaffold2, whole genome shotgun sequence
WRCW01000119.1       -         Sodium               RF03071    cm        1       55     5915     5990      +    no    1 0.42   0.0   40.0     0.066 ?   Spirochaetaceae bacterium isolate Lab288P3bin165 Ga0123353_10057653, whole genome shotgun sequence
DWVH01000031.1       -         Sodium               RF03071    cm        1       55    20246    20199      -    no    1 0.50   0.0   40.0     0.066 ?   MAG TPA_asm: Candidatus Enterococcus stercoripullorum isolate ChiHjej12B11-924 ChiHjej12B11M5__C67353_L68398_SAMN08009878, whole genome shotgun sequence
NZ_ASWI01000003.1    -         Sodium               RF03071    cm        1       55   681106   681153      +    no    1 0.50   0.0   40.0     0.066 ?   Enterococcus cecorum DSM 20682 = ATCC 43198 acyrV-supercont1.3, whole genome shotgun sequence
NZ_KE136349.1        -         Sodium               RF03071    cm        1       55   181115   181068      -    no    1 0.50   0.0   39.9     0.071 ?   Enterococcus columbae DSM 7374 = ATCC 51263 acpMI-supercont1.3, whole genome shotgun sequence
NZ_GL622241.1        -         Sodium               RF03071    cm        1       55   426185   426140      -    no    1 0.48   0.0   39.8     0.074 ?   Enterococcus italicus DSM 15952 SCAFFOLD1, whole genome shotgun sequence
NZ_BJDS01000024.1    -         Sodium               RF03071    cm        1       55    14753    14705      -    no    1 0.43   0.0   39.6     0.081 ?   Enterococcus songbeiensis strain 85-4 contig24, whole genome shotgun sequence
NZ_JXKQ01000025.1    -         Sodium               RF03071    cm        1       55     1871     1915      +    no    1 0.51   0.0   39.5     0.086 ?   Enterococcus hermanniensis strain DSM 17122 Scaffold25, whole genome shotgun sequence
NZ_JXKM01000010.1    -         Sodium               RF03071    cm        1       55    59772    59816      +    no    1 0.51   0.0   39.5     0.086 ?   Enterococcus devriesei strain DSM 22802 Scaffold10, whole genome shotgun sequence
NZ_WJQT01000001.1    -         Sodium               RF03071    cm        1       55   251476   251523      +    no    1 0.50   0.0   39.5      0.09 ?   Fundicoccus ignavus strain DSM 109652 1_417050_29.7014, whole genome shotgun sequence
NZ_CP049887.1        -         Sodium               RF03071    cm        1       55  1272596  1272552      -    no    1 0.53   0.0   39.4     0.092 ?   Vagococcus hydrophili strain HDW17B chromosome, complete genome
NZ_FWFD01000007.1    -         Sodium               RF03071    cm        1       55    17119    17075      -    no    1 0.53   0.0   39.4     0.092 ?   Vagococcus fluvialis bH819, whole genome shotgun sequence
NZ_AMYT01000011.1    -         Sodium               RF03071    cm        1       55    29757    29801      +    no    1 0.47   0.0   39.4     0.092 ?   Catellicoccus marimammalium M35/04/3 contig00011, whole genome shotgun sequence
JAFQPM010000021.1    -         Sodium               RF03071    cm        1       55    26454    26392      -    no    1 0.32   0.0   39.4     0.092 ?   Clostridia bacterium isolate RGIG2032 Goat_Colon-1__c437424, whole genome shotgun sequence
JAAXTT010000202.1    -         Sodium               RF03071    cm        1       55     2270     2325      +    no    1 0.41   0.0   39.4     0.096 ?   MAG: Peptococcaceae bacterium isolate W4_Combined_metabat1_111 W4_Combined_metabat1_111_NODE_60805, whole genome shotgun sequence
WRAH01000002.1       -         Sodium               RF03071    cm        1       55   136762   136820      +    no    1 0.47   0.0   39.3     0.098 ?   MAG: Defluviitaleaceae bacterium isolate Lab288P1bin22 Ga0131853_10000028, whole genome shotgun sequence
NZ_JAHLEC010000021.1 -         Sodium               RF03071    cm        1       55     9235     9177      -    no    1 0.36   0.0   39.3       0.1 ?   Clostridium psychrophilum strain DSM 14207 contig00021, whole genome shotgun sequence
WRBC01000001.1       -         Sodium               RF03071    cm        1       55     9344     9293      -    no    1 0.52   0.0   39.3       0.1 ?   Coriobacteriia bacterium isolate Lab288P1bin60 Ga0131853_10000019, whole genome shotgun sequence
NZ_ASWO01000007.1    -         Sodium               RF03071    cm        1       55    12573    12527      -    no    1 0.53   0.0   39.1      0.11 ?   Enterococcus sulfureus ATCC 49903 acyDF-supercont2.7, whole genome shotgun sequence
NZ_RHOE01000095.1    -         Sodium               RF03071    cm        1       55     5055     5101      +    no    1 0.55   0.0   39.0      0.12 ?   Lactobacillus zhaoyuanensis strain 187-3 contig95, whole genome shotgun sequence
NZ_BJDN01000022.1    -         Sodium               RF03071    cm        1       55    29498    29452      -    no    1 0.55   0.0   39.0      0.12 ?   Loigolactobacillus binensis strain 735-2 scaffold22, whole genome shotgun sequence
JAATEZ010000258.1    -         Sodium               RF03071    cm        1       55     2113     2159      +    no    1 0.53   0.0   38.9      0.12 ?   Lactobacillales bacterium isolate bin_153 k141_10608261, whole genome shotgun sequence
NZ_JQLG01000004.1    -         Sodium               RF03071    cm        1       55  2084550  2084598      +    no    1 0.45   0.0   38.8      0.14 ?   Carnobacterium alterfunditum DSM 5972 strain pf4 BR50DRAFT_scf7180000000014_quiver_dupTrim_6666.4_C, whole genome shotgun sequence
DXAP01000177.1       -         Sodium               RF03071    cm        1       55     6949     6995      +    no    1 0.47   0.0   38.7      0.14 ?   MAG TPA_asm: Candidatus Ligilactobacillus excrementavium isolate 2259 CHK96__C174764_L15564_SAMEA104467322, whole genome shotgun sequence
NZ_APCP01000043.1    -         Sodium               RF03071    cm        1       55     8997     9043      +    no    1 0.47   0.0   38.7      0.14 ?   Lactobacillus pobuzihii E100301 = KCTC 13174 strain E100301 contig_45, whole genome shotgun sequence
NZ_AZFI01000153.1    -         Sodium               RF03071    cm        1       55     1776     1822      +    no    1 0.47   0.0   38.7      0.14 ?   Lactobacillus acidipiscis DSM 15836 Scaffold153, whole genome shotgun sequence
NZ_CP038865.1        -         Sodium               RF03071    cm        1       55   120093   120139      +    no    1 0.47   0.0   38.7      0.14 ?   Vagococcus sp. CF-49 chromosome, complete genome
NZ_AYYI01000042.1    -         Sodium               RF03071    cm        1       55    47070    47024      -    no    1 0.55   0.0   38.6      0.15 ?   Lactobacillus rennini DSM 20253 NODE_44, whole genome shotgun sequence
NZ_ATXL01000028.1    -         Sodium               RF03071    cm        1       55    23019    23064      +    no    1 0.57   0.0   38.6      0.15 ?   Bavariicoccus seileri WCC 4188 strain DSM 19936 H541DRAFT_scaffold00028.28_C, whole genome shotgun sequence
NZ_MAEH01000014.1    -         Sodium               RF03071    cm        1       55   691147   691099      -    no    1 0.49   0.0   38.5      0.16 ?   Enterococcus sp. CU9D 7000000226405713, whole genome shotgun sequence
JAAYNW010000008.1    -         Sodium               RF03071    cm        1       55    56856    56920      +    no    1 0.29   0.4   38.4      0.16 ?   MAG: Clostridiales bacterium isolate AS21ysBPME_273 27518_AS21, whole genome shotgun sequence
DHTR01000054.1       -         Sodium               RF03071    cm        1       55     4124     4072      -    no    1 0.47   0.0   38.3      0.18 ?   MAG TPA_asm: Pelotomaculum sp. UBA5255 UBA5255_contig_18108, whole genome shotgun sequence
NZ_FOWD01000017.1    -         Sodium               RF03071    cm        1       55    55227    55275      +    no    1 0.43   0.0   38.2      0.18 ?   Anaerocolumna aminovalerica strain DSM 1283, whole genome shotgun sequence
DBRO01000066.1       -         Sodium               RF03071    cm        1       55    15618    15665      +    no    1 0.50   0.0   38.1       0.2 ?   MAG TPA_asm: Ruminococcus sp. UBA1366 UBA1366_contig_1806, whole genome shotgun sequence
CAIXGU010000171.1    -         Sodium               RF03071    cm        1       55     1340     1294      -    no    1 0.64   0.0   38.1       0.2 ?   uncultured Clostridiales bacterium isolate LaPlata_bin-1746 genome assembly, contig: bin-1746:171/308, whole genome shotgun sequence
NZ_AYYK01000001.1    -         Sodium               RF03071    cm        1       55   105176   105223      +    no    1 0.48   0.0   38.0      0.21 ?   Lapidilactobacillus dextrinicus DSM 20335 NODE_2, whole genome shotgun sequence
LFSA01000078.1       -         Sodium               RF03071    cm        1       55      131      180      +    no    1 0.44   0.0   38.0      0.21 ?   MAG: Pelotomaculum sp. DTU098 scaffold51870, whole genome shotgun sequence
DNPP01000189.1       -         Sodium               RF03071    cm        1       55     2506     2564      +    no    1 0.46   0.0   38.0      0.21 ?   TPA_asm: Firmicutes bacterium isolate UBA8346 contig_15117, whole genome shotgun sequence
NZ_BCPY01000009.1    -         Sodium               RF03071    cm        1       55    16815    16860      +    no    1 0.48   0.0   38.0      0.21 ?   Tetragenococcus solitarius NBRC 100494, whole genome shotgun sequence
NZ_RHOH01000001.1    -         Sodium               RF03071    cm        1       55   302384   302341      -    no    1 0.55   0.0   37.7      0.26 ?   Lactobacillus daqingensis strain 143-4(a) contig1, whole genome shotgun sequence
NZ_NGKA01000014.1    -         Sodium               RF03071    cm        1       55    68234    68188      -    no    1 0.49   0.0   37.5      0.28 ?   Vagococcus elongatus strain CCUG 51432 14, whole genome shotgun sequence
DIEQ01000108.1       -         Sodium               RF03071    cm        1       55    41682    41730      +    no    1 0.55   0.0   37.4      0.29 ?   MAG TPA_asm: Mageeibacillus sp. UBA5770 UBA5770_contig_32370, whole genome shotgun sequence
NZ_CBYL010000030.1   -         Sodium               RF03071    cm        1       55    16451    16515      +    no    1 0.42   0.0   37.3      0.32 ?   Clostridium jeddahense strain JCD, whole genome shotgun sequence
NZ_SDAK01000001.1    -         Sodium               RF03071    cm        1       55   996243   996194      -    no    1 0.48   0.0   37.3      0.33 ?   Lactococcus sp. S-13 contig1, whole genome shotgun sequence
CAJUPL010000031.1    -         Sodium               RF03071    cm        1       55    14559    14638      +    no    1 0.49   0.0   37.1      0.35 ?   TPA_asm: uncultured Eggerthellaceae bacterium isolate MGBC164018 genome assembly, contig: MGBC164018.31, whole genome shotgun sequence
NZ_FUXI01000001.1    -         Sodium               RF03071    cm        1       55    90096    90052      -    no    1 0.49   0.0   37.1      0.37 ?   Pilibacter termitis strain ATCC BAA-1030, whole genome shotgun sequence
NZ_CP017713.1        -         Sodium               RF03071    cm        1       55  2411912  2411866      -    no    1 0.57   0.0   37.0      0.37 ?   Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 chromosome, complete genome
NZ_MAEL01000046.1    -         Sodium               RF03071    cm        1       55    43321    43276      -    no    1 0.48   0.0   37.0      0.39 ?   Enterococcus sp. CU12B 7000000226399047, whole genome shotgun sequence
NZ_BJDU01000010.1    -         Sodium               RF03071    cm        1       55    72825    72870      +    no    1 0.46   0.0   37.0      0.39 ?   Lactobacillus formosensis strain NBRC 109509 scaffold10, whole genome shotgun sequence
NZ_JAFLRH010000015.1 -         Sodium               RF03071    cm        1       55    20152    20207      +    no    1 0.45   0.0   36.8      0.42 ?   Desulfitobacterium sp. PLL0 L1_ctg0006, whole genome shotgun sequence
NZ_FNVY01000003.1    -         Sodium               RF03071    cm        1       55   345688   345738      +    no    1 0.47   0.0   36.7      0.44 ?   Enterococcus timonensis strain Marseille-P2817T, whole genome shotgun sequence
NZ_BOVP01000004.1    -         Sodium               RF03071    cm        1       55   244656   244612      -    no    1 0.56   0.0   36.5       0.5 ?   Lactococcus formosensis strain NBRC 109475 contig4, whole genome shotgun sequence
NZ_MUIZ01000002.1    -         Sodium               RF03071    cm        1       55   169807   169851      +    no    1 0.56   0.0   36.5       0.5 ?   Lactococcus petauri strain 159469 NODE_2_length_487657_cov_104.06_ID_2310, whole genome shotgun sequence
NZ_BBJW01000004.1    -         Sodium               RF03071    cm        1       55   129790   129746      -    no    1 0.56   0.0   36.5       0.5 ?   Lactococcus garvieae NBRC 100934, whole genome shotgun sequence
QIJL01000623.1       -         Sodium               RF03071    cm        1       55    16310    16254      -    no    1 0.33   0.0   36.5       0.5 ?   Flavobacteriales bacterium isolate SZUA-72 Ga0063293_10004551, whole genome shotgun sequence
NZ_BCPY01000026.1    -         Sodium               RF03071    cm        1       55    29307    29262      -    no    1 0.50   0.0   36.5      0.51 ?   Tetragenococcus solitarius NBRC 100494, whole genome shotgun sequence
NZ_JABJXU010000005.1 -         Sodium               RF03071    cm        1       55    25669    25714      +    no    1 0.46   0.0   36.2       0.6 ?   Enterococcus sp. MMGLQ5-1 Scaffold5, whole genome shotgun sequence
NZ_JAFLVX010000029.1 -         Sodium               RF03071    cm        1       55    26203    26159      -    no    1 0.53   0.0   36.1      0.64 ?   Vagococcus sp. DIV0080 scaffold5.29, whole genome shotgun sequence
NC_013216.1          -         Sodium               RF03071    cm        1       55   623238   623303      +    no    1 0.45   0.0   36.1      0.65 ?   Desulfofarcimen acetoxidans DSM 771, complete sequence
NZ_CP007033.1        -         Sodium               RF03071    cm        1       55    36784    36727      -    no    1 0.45   0.0   36.1      0.65 ?   Dehalobacter restrictus DSM 9455 strain PER-K23 chromosome, complete genome
NZ_NGKC01000012.1    -         Sodium               RF03071    cm        1       55    24658    24703      +    no    1 0.48   0.0   36.0      0.69 ?   Vagococcus acidifermentans strain LMG 24798 12, whole genome shotgun sequence
NZ_RHOI01000006.1    -         Sodium               RF03071    cm        1       55    30280    30239      -    no    1 0.62   0.0   35.7      0.79 ?   Lactobacillus baoqingensis strain 47-3 contig6, whole genome shotgun sequence
NZ_JABZEC010000002.1 -         Sodium               RF03071    cm        1       55   117348   117395      +    no    1 0.48   0.0   35.7       0.8 ?   Bombilactobacillus sp. DCY120 contig2, whole genome shotgun sequence
NZ_ASVU01000002.1    -         Sodium               RF03071    cm        1       55   450419   450467      +    no    1 0.47   0.0   35.6      0.88 ?   Enterococcus asini ATCC 700915 acOtD-supercont2.2, whole genome shotgun sequence
NZ_CP017194.1        -         Sodium               RF03071    cm        1       55  1294345  1294390      +    no    1 0.48   0.0   35.3         1 ?   Lactococcus sp. TMW21612 chromosome, complete genome
NZ_CP017195.1        -         Sodium               RF03071    cm        1       55  1349278  1349323      +    no    1 0.48   0.0   35.3         1 ?   Lactococcus sp. TMW21615 chromosome, complete genome
NZ_JXJW01000014.1    -         Sodium               RF03071    cm        1       55    31530    31575      +    no    1 0.48   0.0   35.3         1 ?   Lactococcus piscium strain DSM 6634 Scaffold14, whole genome shotgun sequence
NZ_JXJX01000022.1    -         Sodium               RF03071    cm        1       55     2592     2637      +    no    1 0.48   0.0   35.2       1.1 ?   Lactococcus plantarum strain DSM 20686 Scaffold22, whole genome shotgun sequence
NZ_KB944589.1        -         Sodium               RF03071    cm        1       55    32582    32632      +    no    1 0.47   0.0   35.2       1.1 ?   Enterococcus faecalis ATCC 19433 acAqW-supercont1.2, whole genome shotgun sequence
PGZZ01000013.1       -         Sodium               RF03071    cm        1       55    32333    32284      -    no    1 0.42   0.0   35.2       1.1 ?   Firmicutes bacterium HGW-Firmicutes-16 bjp_ig2069_scaffold_419, whole genome shotgun sequence
NZ_AP022822.1        -         Sodium               RF03071    cm        1       55  1314236  1314284      +    no    1 0.49   0.0   35.2       1.1 ?   Enterococcus saigonensis strain VE80 chromosome, complete genome
NZ_KE136354.1        -         Sodium               RF03071    cm        1       55   884902   884854      -    no    1 0.49   0.0   35.2       1.1 ?   Enterococcus dispar ATCC 51266 acpMG-supercont1.1, whole genome shotgun sequence
NZ_JAFLVT010000005.1 -         Sodium               RF03071    cm        1       55   229698   229650      -    no    1 0.49   0.0   35.2       1.1 ?   Enterococcus sp. MJM12 scaffold2.5, whole genome shotgun sequence
NZ_JXKG01000027.1    -         Sodium               RF03071    cm        1       55    18972    18924      -    no    1 0.49   0.0   35.2       1.1 ?   Enterococcus canintestini strain DSM 21207 Scaffold27, whole genome shotgun sequence
JAAYCT010000005.1    -         Sodium               RF03071    cm        1       55    55003    55065      +    no    1 0.41   0.0   35.1       1.2 ?   MAG: Clostridiaceae bacterium isolate AS06rmzACSIP_487 84762_AS06, whole genome shotgun sequence
NZ_CP049366.1        -         Sodium               RF03071    cm        1       55  2363377  2363332      -    no    1 0.48   0.0   35.1       1.2 ?   Companilactobacillus pabuli strain NFFJ11 chromosome, complete genome
NZ_CP017702.1        -         Sodium               RF03071    cm        1       55   251613   251568      -    no    1 0.48   0.0   35.1       1.2 ?   Lactobacillus farciminis KCTC 3681 = DSM 20184 chromosome, complete genome
NZ_AZDO01000007.1    -         Sodium               RF03071    cm        1       55    20904    20859      -    no    1 0.48   0.0   35.1       1.2 ?   Lactobacillus futsaii JCM 17355 NODE_10, whole genome shotgun sequence
NZ_JAGGLL010000031.1 -         Sodium               RF03071    cm        1       55    18145    18090      -    no    1 0.46   0.0   35.0       1.2 ?   Clostridium punense strain DSM 28650 Ga0454145_31, whole genome shotgun sequence
NZ_OEQH01000001.1    -         Sodium               RF03071    cm        1       55   470559   470627      +    no    1 0.41   0.2   35.0       1.2 ?   Clostridium minihomine strain Marseille-P4642, whole genome shotgun sequence
NZ_FXLN01000004.1    -         Sodium               RF03071    cm        1       55    58999    59062      +    no    1 0.41   0.1   34.8       1.3 ?   Clostridium merdae strain Marseille-P2953, whole genome shotgun sequence
NZ_PXZH01000001.1    -         Sodium               RF03071    cm        1       55   126265   126314      +    no    1 0.54   0.0   34.8       1.4 ?   Vagococcus humatus strain JCM 31581 1, whole genome shotgun sequence
DIRE01000045.1       -         Sodium               RF03071    cm        1       55     3651     3710      +    no    1 0.45   0.0   34.7       1.4 ?   MAG TPA_asm: Clostridiaceae bacterium UBA5444 UBA5444_contig_8558, whole genome shotgun sequence
NZ_JQCD01000024.1    -         Sodium               RF03071    cm        1       55   136729   136772      +    no    1 0.50   0.0   34.6       1.5 ?   Weissella minor strain DSM 20014 NODE_113, whole genome shotgun sequence
NZ_RHOW01000015.1    -         Sodium               RF03071    cm        1       55    39107    39153      +    no    1 0.43   0.0   34.6       1.5 ?   Lapidilactobacillus mulanensis strain 143-6 contig15, whole genome shotgun sequence
NZ_AZFX01000036.1    -         Sodium               RF03071    cm        1       55    75444    75398      -    no    1 0.43   0.0   34.6       1.5 ?   Lactobacillus concavus DSM 17758 NODE_45, whole genome shotgun sequence
JAAYOZ010000126.1    -         Sodium               RF03071    cm        1       55     1053      995      -    no    1 0.44   0.0   34.3       1.9 ?   MAG: Clostridiales bacterium isolate AS22ysBPME_133 130336_AS22, whole genome shotgun sequence
DDHB01000079.1       -         Sodium               RF03071    cm        1       55    64446    64394      -    no    1 0.55   0.0   34.3       1.9 ?   TPA_asm: Sporomusaceae bacterium UBA1887 UBA1887_contig_22, whole genome shotgun sequence
CAIXGU010000092.1    -         Sodium               RF03071    cm        1       55     1588     1541      -    no    1 0.62   0.0   34.1         2 ?   uncultured Clostridiales bacterium isolate LaPlata_bin-1746 genome assembly, contig: bin-1746:092/308, whole genome shotgun sequence
NZ_NGKU01000001.1    -         Sodium               RF03071    cm        1       55  1544894  1544848      -    no    1 0.45   0.0   34.1       2.1 ?   Enterococcus sp. 8G7_MSG3316 scaffold00001, whole genome shotgun sequence
JAAYQM010000087.1    -         Sodium               RF03071    cm        1       55     4179     4229      +    no    1 0.49   0.0   34.0       2.2 ?   MAG: Clostridiales bacterium isolate AS22ysBPME_47 191811_AS22, whole genome shotgun sequence
NZ_CP048649.1        -         Sodium               RF03071    cm        1       55  2893722  2893670      -    no    1 0.43   0.0   33.9       2.3 ?   Aminipila butyrica strain DSM 103574 chromosome, complete genome
QXWR01000005.1       -         Sodium               RF03071    cm        1       55   141066   141018      -    no    1 0.29   0.0   33.8       2.4 ?   Clostridiaceae bacterium strain 1XD21-29 Scaffold5_1, whole genome shotgun sequence
NZ_CP065691.1        -         Sodium               RF03071    cm        1       55   590772   590816      +    no    1 0.56   0.0   33.7       2.6 ?   Lactococcus garvieae strain FDAARGOS_893 chromosome, complete genome
NZ_AZCZ01000009.1    -         Sodium               RF03071    cm        1       55    70045    70093      +    no    1 0.49   0.0   33.6       2.8 ?   Lactobacillus parabrevis ATCC 53295 Scaffold9, whole genome shotgun sequence
DJJW01000023.1       -         Sodium               RF03071    cm        1       55     9101     9147      +    no    1 0.45   0.0   33.4       3.2 ?   MAG TPA_asm: Lachnoclostridium sp. UBA6558 UBA6558_contig_487, whole genome shotgun sequence
NZ_WIVG01000048.1    -         Sodium               RF03071    cm        1       55      879      923      +    no    1 0.58   0.0   33.1       3.6 ?   Lactococcus garvieae strain EP01 Scaffold48, whole genome shotgun sequence
NZ_AYYO01000050.1    -         Sodium               RF03071    cm        1       55    56450    56496      +    no    1 0.55   0.0   33.1       3.7 ?   Lactobacillus sharpeae JCM 1186 = DSM 20505 NODE_90, whole genome shotgun sequence
DDXI01000013.1       -         Sodium               RF03071    cm        1       55     9423     9373      -    no    1 0.45   0.0   33.1       3.8 ?   MAG TPA_asm: Peptococcaceae bacterium UBA2264 UBA2264_contig_20234, whole genome shotgun sequence
NZ_JAFBEO010000002.1 -         Sodium               RF03071    cm        1       55   116414   116371      -    no    1 0.43   0.0   33.0       3.9 ?   Weissella uvarum strain DSM 28060 Ga0454057_02, whole genome shotgun sequence
JAAYHZ010000195.1    -         Sodium               RF03071    cm        1       55     6700     6640      -    no    1 0.39   0.0   33.0         4 ?   MAG: Clostridiaceae bacterium isolate AS09scLD_42 194348_AS09, whole genome shotgun sequence
WRHL01000006.1       -         Sodium               RF03071    cm        1       55    15709    15757      +    no    1 0.49   0.0   32.9       4.1 ?   Coriobacteriia bacterium isolate Nt197P3bin113 Ga0082212_10000749, whole genome shotgun sequence
