#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         nhaA-I               RF03057    cm        1       55     2831     2779      -    no    1 0.75   0.1   62.7   4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_CP061721.1        -         nhaA-I               RF03057    cm        1       55  3699733  3699671      -    no    1 0.68   0.0   25.2   5.2e+02 !   Pseudarthrobacter sp. BIM B-2242 chromosome, complete genome
NZ_RJSG01000002.1    -         nhaA-I               RF03057    cm        1       55   204873   204928      +    no    1 0.70   0.0   25.2   5.2e+02 !   Marmoricola solisilvae strain KIS18-7 scaffold3_148.5, whole genome shotgun sequence
NZ_MPOH02000009.1    -         nhaA-I               RF03057    cm        1       55   360444   360397      -    no    1 0.75   0.1   25.2   5.2e+02 !   Streptomyces phaeoluteigriseus strain DSM 41896 Scaffold_9, whole genome shotgun sequence
JADJXH010000004.1    -         nhaA-I               RF03057    cm        1       55  1491707  1491662      -    no    1 0.74   0.0   25.2   5.2e+02 !   Flavobacteriales bacterium isolate Kalu_18-Q3-R12-55_MAXAC.077 tig00100716-10-22830910, whole genome shotgun sequence
NZ_LZNS01000001.1    -         nhaA-I               RF03057    cm        1       55  1526761  1526704      -    no    1 0.72   0.0   25.2   5.2e+02 !   Streptomyces sp. MP131-18 scaf_01, whole genome shotgun sequence
NZ_KE386798.1        -         nhaA-I               RF03057    cm        1       55    88816    88873      +    no    1 0.71   0.0   25.2   5.2e+02 !   Conchiformibius kuhniae DSM 17694 G392DRAFT_scaffold00004.4, whole genome shotgun sequence
JACVCL010000037.1    -         nhaA-I               RF03057    cm        1       55     5032     5086      +    no    1 0.67   0.0   25.2   5.2e+02 !   Phycisphaerales bacterium isolate Desfum bin_1_GBBB08 NODE_394_length_17356_cov_9.944918, whole genome shotgun sequence
JAFZSS010000179.1    -         nhaA-I               RF03057    cm        1       55     2853     2793      -    no    1 0.61   0.0   25.2   5.2e+02 !   Muribaculaceae bacterium isolate RGIG8063 Water_buffalos_Rumen-2__c1990548, whole genome shotgun sequence
NZ_BONZ01000062.1    -         nhaA-I               RF03057    cm        1       55    18282    18199      -    no    1 0.74   1.0   25.2   5.2e+02 !   Rugosimonospora africana strain NBRC 104875 sequence062, whole genome shotgun sequence
NZ_FMTU01000006.1    -         nhaA-I               RF03057    cm        1       55   164968   164907      -    no    1 0.63   0.0   25.2   5.2e+02 !   Sphingobium faniae strain CGMCC 1.7749, whole genome shotgun sequence
PUOZ01000069.1       -         nhaA-I               RF03057    cm        1       55     2064     2016      -    no    1 0.71   0.0   25.2   5.3e+02 !   Thioalkalivibrio sp. isolate B1Sed10_11R1 B1-Sed10-C73482, whole genome shotgun sequence
NZ_FNBP01000001.1    -         nhaA-I               RF03057    cm        1       55   385466   385517      +    no    1 0.63   0.0   25.2   5.3e+02 !   Sulfitobacter delicatus strain DSM 16477, whole genome shotgun sequence
NC_004463.1          -         nhaA-I               RF03057    cm        1       55  3133875  3133927      +    no    1 0.85   6.2   25.2   5.3e+02 !   Bradyrhizobium diazoefficiens USDA 110, complete sequence
NZ_CP026001.1        -         nhaA-I               RF03057    cm        1       55  2488021  2488063      +    no    1 0.67   0.0   25.2   5.3e+02 !   Stenotrophomonas sp. ZAC14D1_NAIMI4_1 chromosome
WNDX01000016.1       -         nhaA-I               RF03057    cm        1       55    10792    10734      -    no    1 0.75   0.0   25.2   5.3e+02 !   Herbaspirillum frisingense isolate cluster_DBSCAN_round4_6 GAK35_16, whole genome shotgun sequence
SFCB01000203.1       -         nhaA-I               RF03057    cm        1       55    15194    15235      +    no    1 0.64   0.0   25.2   5.3e+02 !   Chloroflexi bacterium OHK40 k99_266704, whole genome shotgun sequence
NZ_ML133853.1        -         nhaA-I               RF03057    cm        1       55   138893   138946      +    no    1 0.72   0.0   25.2   5.3e+02 !   Brachybacterium paraconglomeratum strain KCTC 9916 Scaffold3, whole genome shotgun sequence
NZ_KE384240.1        -         nhaA-I               RF03057    cm        1       55    19827    19880      +    no    1 0.76   0.4   25.2   5.3e+02 !   Streptomyces sp. CNT318 H296DRAFT_scaffold00004.4, whole genome shotgun sequence
NZ_VIRS01000009.1    -         nhaA-I               RF03057    cm        1       55   215701   215659      -    no    1 0.65   0.0   25.2   5.3e+02 !   Cryptosporangium phraense strain A-T 5661 9, whole genome shotgun sequence
CAIYQZ010000006.1    -         nhaA-I               RF03057    cm        1       55    11004    11055      +    no    1 0.63   0.0   25.2   5.3e+02 !   uncultured bacterium isolate ErkenSummer_bin-6677 genome assembly, contig: bin-6677:06/79, whole genome shotgun sequence
NZ_PEJS01000001.1    -         nhaA-I               RF03057    cm        1       55  1353160  1353213      +    no    1 0.69   0.0   25.2   5.3e+02 !   Stenotrophomonas indicatrix strain WS40 NODE_1_length_4130972_cov_34.7132_ID_41, whole genome shotgun sequence
NZ_RWKI01000012.1    -         nhaA-I               RF03057    cm        1       55    61094    61039      -    no    1 0.64   0.0   25.2   5.3e+02 !   Variovorax sp. MHTC-1 12, whole genome shotgun sequence
CAIOSP010000159.1    -         nhaA-I               RF03057    cm        1       55     7365     7415      +    no    1 0.78   0.7   25.2   5.3e+02 !   uncultured proteobacterium isolate Kiruna_bin-11227 genome assembly, contig: bin-11227:159/223, whole genome shotgun sequence
NZ_JNYY01000016.1    -         nhaA-I               RF03057    cm        1       55    42930    42988      +    no    1 0.80   1.7   25.2   5.3e+02 !   Amycolatopsis vancoresmycina strain NRRL B-24208 contig16.1, whole genome shotgun sequence
NZ_JAAGBB010000077.1 -         nhaA-I               RF03057    cm        1       55     5365     5308      -    no    1 0.76   0.6   25.2   5.3e+02 !   Roseomonas hellenica strain LMG 31523 contig00077, whole genome shotgun sequence
NZ_JADKYP010000056.1 -         nhaA-I               RF03057    cm        1       55    26734    26792      +    no    1 0.71   0.0   25.2   5.3e+02 !   Nocardia sp. BSTN01 56, whole genome shotgun sequence
NZ_BAFQ01000023.1    -         nhaA-I               RF03057    cm        1       55    35280    35338      +    no    1 0.71   0.0   25.2   5.3e+02 !   Nocardia aobensis NBRC 100429, whole genome shotgun sequence
NZ_BDBL01000033.1    -         nhaA-I               RF03057    cm        1       55    28560    28502      -    no    1 0.71   0.0   25.2   5.3e+02 !   Nocardia kruczakiae NBRC 101016, whole genome shotgun sequence
NZ_BDCM01000003.1    -         nhaA-I               RF03057    cm        1       55   281552   281494      -    no    1 0.71   0.0   25.2   5.3e+02 !   Nocardia mikamii NBRC 108933, whole genome shotgun sequence
NZ_JAEFCB010000001.1 -         nhaA-I               RF03057    cm        1       55   605824   605904      +    no    1 0.74   0.5   25.2   5.3e+02 !   Variovorax sp. IB41 NODE_1_length_1385280_cov_56.410947, whole genome shotgun sequence
NZ_FOXJ01000001.1    -         nhaA-I               RF03057    cm        1       55  1222838  1222758      -    no    1 0.74   0.5   25.2   5.3e+02 !   Variovorax sp. 770b2, whole genome shotgun sequence
NZ_BOON01000008.1    -         nhaA-I               RF03057    cm        1       55    89221    89274      +    no    1 0.80   1.0   25.2   5.3e+02 !   Planosporangium mesophilum strain NBRC 109066 sequence008, whole genome shotgun sequence
NZ_QLTT01000006.1    -         nhaA-I               RF03057    cm        1       55   211010   210962      -    no    1 0.76   0.0   25.2   5.3e+02 !   Lentzea atacamensis strain DSM 45479 Ga0215649_106, whole genome shotgun sequence
NZ_CP031425.1        -         nhaA-I               RF03057    cm        1       55  2912185  2912121      -    no    1 0.68   0.0   25.2   5.3e+02 !   Microbacterium foliorum strain NRRL B-24224 chromosome, complete genome
NZ_BONX01000032.1    -         nhaA-I               RF03057    cm        1       55    75768    75716      -    no    1 0.75   0.0   25.2   5.3e+02 !   Plantactinospora mayteni strain NBRC 109088 sequence032, whole genome shotgun sequence
NZ_CP020474.1        -         nhaA-I               RF03057    cm        1       55  2242550  2242601      +    no    1 0.71   0.0   25.2   5.3e+02 !   Roseovarius mucosus strain SMR3 chromosome, complete genome
CAINXC010000749.1    -         nhaA-I               RF03057    cm        1       55    23295    23332      +    no    1 0.66   0.0   25.2   5.3e+02 !   uncultured Verrucomicrobia bacterium isolate Umea_bin-08071 genome assembly, contig: bin-08071:749/840, whole genome shotgun sequence
NZ_JACBZQ010000001.1 -         nhaA-I               RF03057    cm        1       55    90645    90579      -    no    1 0.70   0.0   25.2   5.3e+02 !   Microlunatus terrae strain DSM 26486 Ga0111587_01, whole genome shotgun sequence
CACFFD010000012.1    -         nhaA-I               RF03057    cm        1       55    35762    35812      +    no    1 0.59   0.0   25.2   5.3e+02 !   Actinobacteria bacterium isolate AG-410-G14 genome assembly, contig: AG-410-G14_NODE_12, whole genome shotgun sequence
SXJR01000346.1       -         nhaA-I               RF03057    cm        1       55    52860    52938      +    no    1 0.78   4.0   25.2   5.3e+02 !   Myxococcales bacterium isolate F1-120-MAGs089 F1-120__c484520, whole genome shotgun sequence
NZ_RAVZ01000123.1    -         nhaA-I               RF03057    cm        1       55      372      425      +    no    1 0.74   0.0   25.2   5.3e+02 !   Corallococcus terminator strain CA054A NODE_123_25394_cov_35.4509, whole genome shotgun sequence
JAEKNQ010000050.1    -         nhaA-I               RF03057    cm        1       55     1376     1331      -    no    1 0.76   0.2   25.2   5.3e+02 !   Candidatus Dormibacteraeota bacterium isolate SC8811_S16_3 k141_407695, whole genome shotgun sequence
NZ_SAIY01000004.1    -         nhaA-I               RF03057    cm       28       55   340246   340273      +    no    1 0.71   0.0   25.2   5.3e+02 !   Verrucosispora sp. CWR15 Contig_4, whole genome shotgun sequence
NZ_BOOZ01000019.1    -         nhaA-I               RF03057    cm       28       55    27863    27890      +    no    1 0.71   0.0   25.2   5.3e+02 !   Micromonospora andamanensis strain NBRC 109075 sequence019, whole genome shotgun sequence
JAFGNN010000081.1    -         nhaA-I               RF03057    cm        1       55    53668    53586      -    no    1 0.70   0.1   25.2   5.4e+02 !   Spirochaetales bacterium isolate Zod_Metabat.547 k87_12370818, whole genome shotgun sequence
NZ_CP078138.1        -         nhaA-I               RF03057    cm        1       55  2201654  2201703      +    no    1 0.80   0.7   25.2   5.4e+02 !   Pseudomonas fluorescens strain MYb115 chromosome
NZ_CP013979.1        -         nhaA-I               RF03057    cm        1       55  1061979  1062055      +    no    1 0.77   3.7   25.2   5.4e+02 !   Agromyces aureus strain AR33 chromosome, complete genome
NZ_LMOD01000002.1    -         nhaA-I               RF03057    cm        1       55   634454   634526      +    no    1 0.75   0.8   25.2   5.4e+02 !   Microbacterium sp. Leaf320 contig_2, whole genome shotgun sequence
NZ_SODP01000002.1    -         nhaA-I               RF03057    cm        1       55   835773   835717      -    no    1 0.68   0.0   25.2   5.4e+02 !   Kribbella sp. VKM Ac-2573 Ga0310571_12, whole genome shotgun sequence
WHTQ01000009.1       -         nhaA-I               RF03057    cm        1       55    60026    60091      +    no    1 0.71   0.0   25.2   5.4e+02 !   Micromonosporaceae bacterium isolate Dino_bin41 k141_88465_length_91441_cov_58.5358, whole genome shotgun sequence
NZ_BMQC01000005.1    -         nhaA-I               RF03057    cm        1       55    68846    68785      -    no    1 0.79   1.8   25.2   5.4e+02 !   Pilimelia terevasa strain JCM 3091 sequence05, whole genome shotgun sequence
AYSC01000021.1       -         nhaA-I               RF03057    cm        1       55    36285    36229      -    no    1 0.75   0.1   25.2   5.4e+02 !   Blastomonas sp. CACIA14H2 contig00054, whole genome shotgun sequence
NZ_JNYJ01000008.1    -         nhaA-I               RF03057    cm        1       55    22520    22585      +    no    1 0.77   0.9   25.2   5.4e+02 !   Dactylosporangium aurantiacum strain NRRL B-8018 contig8.1, whole genome shotgun sequence
DDKG01000196.1       -         nhaA-I               RF03057    cm        5       55     8061     8012      -    no    1 0.74   0.0   25.2   5.4e+02 !   TPA_asm: Massilia sp. UBA2604 UBA2604_contig_990, whole genome shotgun sequence
CP011533.1           -         nhaA-I               RF03057    cm        1       55  1784508  1784546      +    no    1 0.82   0.6   25.2   5.4e+02 !   Streptomyces noursei ATCC 11455, complete genome
CAITTG010000097.1    -         nhaA-I               RF03057    cm        1       55    66946    67003      +    no    1 0.76   0.1   25.2   5.4e+02 !   uncultured Verrucomicrobia subdivision 3 bacterium isolate B4-5_bin-581 genome assembly, contig: bin-581:097/135, whole genome shotgun sequence
NZ_MDSK01000026.1    -         nhaA-I               RF03057    cm        1       55     2738     2697      -    no    1 0.79   0.0   25.2   5.4e+02 !   Xanthomonas arboricola pv. guizotiae strain CFBP 7408 XarbCFBP7408026, whole genome shotgun sequence
JAFLDZ010000003.1    -         nhaA-I               RF03057    cm        1       55   397546   397498      -    no    1 0.73   0.0   25.2   5.4e+02 !   Xanthomonadales bacterium isolate UWPOB_LYSO1 gnl_X_PBGEBHIO_3, whole genome shotgun sequence
NZ_JACHDP010000001.1 -         nhaA-I               RF03057    cm        1       55   827743   827799      +    no    1 0.70   0.0   25.2   5.4e+02 !   Micromonospora parathelypteridis strain DSM 103125 Ga0415223_01, whole genome shotgun sequence
NZ_JACKXE010000001.1 -         nhaA-I               RF03057    cm        1       55  1094948  1094895      -    no    1 0.69   0.0   25.2   5.4e+02 !   Nocardioides sp. KIGAM211 contig1, whole genome shotgun sequence
NZ_VUOB01000040.1    -         nhaA-I               RF03057    cm        1       55    16396    16456      +    no    1 0.69   0.0   25.2   5.4e+02 !   Goodfellowiella sp. AN110305 contig_40, whole genome shotgun sequence
NZ_BOML01000043.1    -         nhaA-I               RF03057    cm        1       55    95654    95706      +    no    1 0.77   0.5   25.2   5.4e+02 !   Actinoplanes durhamensis strain NBRC 14914 sequence043, whole genome shotgun sequence
NZ_CP011273.1        -         nhaA-I               RF03057    cm        1       55  5856097  5856053      -    no    1 0.78   0.1   25.2   5.4e+02 !   Planctomyces sp. SH-PL62 chromosome, complete genome
NZ_LN850107.1        -         nhaA-I               RF03057    cm        1       55   683359   683307      -    no    1 0.68   0.0   25.2   5.4e+02 !   Alloactinosynnema sp. L-07 isolate Alloactinosynnema sp. L-07 chromosome I
NZ_KB897780.1        -         nhaA-I               RF03057    cm        1       55   139661   139717      +    no    1 0.74   0.1   25.2   5.4e+02 !   Streptomyces sp. CNT372 C593DRAFT_scaffold00005.5, whole genome shotgun sequence
NZ_BARG01000074.1    -         nhaA-I               RF03057    cm        1       55    46322    46384      +    no    1 0.78   0.7   25.2   5.4e+02 !   Streptomyces hokutonensis strain R1-NS-10, whole genome shotgun sequence
JACCWH010000237.1    -         nhaA-I               RF03057    cm        1       55    28560    28602      +    no    1 0.79   0.3   25.2   5.5e+02 !   Trueperaceae bacterium isolate MGR_bin147 SD2897-2912_k127_6475281, whole genome shotgun sequence
NZ_MWLQ01000012.1    -         nhaA-I               RF03057    cm        1       55   106532   106607      +    no    1 0.74   0.3   25.2   5.5e+02 !   Microbacterium sp. B35-30 B35-30_R1_contig_11, whole genome shotgun sequence
NZ_FOLB01000002.1    -         nhaA-I               RF03057    cm        1       55   222316   222372      +    no    1 0.72   0.0   25.2   5.5e+02 !   Nocardioides terrae strain CGMCC 1.7056, whole genome shotgun sequence
NZ_CP045434.1        -         nhaA-I               RF03057    cm        1       55  1044167  1044121      -    no    1 0.77   0.3   25.2   5.5e+02 !   Sphingomonas ginsengisoli An et al. 2013 strain KACC 16858 chromosome, complete genome
NZ_LIQZ01000538.1    -         nhaA-I               RF03057    cm        1       55     5374     5414      +    no    1 0.71   0.0   25.2   5.5e+02 !   Streptomyces phaeochromogenes strain NRRL B-1248 B-1248_contig_538, whole genome shotgun sequence
JAAXWP010000038.1    -         nhaA-I               RF03057    cm        1       55    25797    25736      -    no    1 0.71   0.0   25.2   5.5e+02 !   Chlorobiaceae bacterium isolate W9_Combined_metabat2_025 W9_Combined_metabat2_025_NODE_888, whole genome shotgun sequence
NZ_BBLW01000005.1    -         nhaA-I               RF03057    cm        1       55    37780    37718      -    no    1 0.75   0.1   25.1   5.5e+02 !   Demequina phytophila strain NBRC 109391, whole genome shotgun sequence
JACDBS010000192.1    -         nhaA-I               RF03057    cm        1       55     8462     8410      -    no    1 0.64   0.0   25.1   5.5e+02 !   Chloroflexi bacterium isolate MGR_bin288 SD2897-2912_k127_1725423, whole genome shotgun sequence
NZ_CP027657.1        -         nhaA-I               RF03057    cm        1       55  4990390  4990456      +    no    1 0.67   0.0   25.1   5.5e+02 !   Pseudomonas mendocina strain NEB698 chromosome, complete genome
NZ_CP026730.1        -         nhaA-I               RF03057    cm        1       55  7469185  7469120      -    no    1 0.76   1.2   25.1   5.5e+02 !   Streptomyces sp. CB09001 chromosome, complete genome
NZ_LN929908.1        -         nhaA-I               RF03057    cm        1       55  1486907  1486852      -    no    1 0.71   0.1   25.1   5.5e+02 !   Mycobacterium sp. M26, whole genome shotgun sequence
RGUW01000032.1       -         nhaA-I               RF03057    cm        1       55     9915     9856      -    no    1 0.57   0.0   25.1   5.5e+02 !   Synechococcaceae bacterium WB9_2_112 contig_100_31, whole genome shotgun sequence
NZ_MUMI01000405.1    -         nhaA-I               RF03057    cm        1       55     1883     1828      -    no    1 0.75   0.3   25.1   5.5e+02 !   Amycolatopsis kentuckyensis strain NRRL B-24129 NRRL_B-24129_contig_405, whole genome shotgun sequence
NZ_JADWPD010000022.1 -         nhaA-I               RF03057    cm        1       55   135220   135275      +    no    1 0.75   0.3   25.1   5.5e+02 !   Amycolatopsis sp. MtRt-6 Scaffold22, whole genome shotgun sequence
NZ_FNSO01000004.1    -         nhaA-I               RF03057    cm        1       55  5805003  5805058      +    no    1 0.75   0.3   25.1   5.5e+02 !   Amycolatopsis tolypomycina strain DSM 44544, whole genome shotgun sequence
NZ_KB912957.1        -         nhaA-I               RF03057    cm        1       55    70921    70881      -    no    1 0.83   0.5   25.1   5.5e+02 !   Streptomyces sp. Amel2xE9 B065DRAFT_scaffold_21.22, whole genome shotgun sequence
NZ_LQBP01000002.1    -         nhaA-I               RF03057    cm        1       55    44885    44929      +    no    1 0.64   0.0   25.1   5.5e+02 !   Ruegeria profundi strain ZGT108 ZB100001, whole genome shotgun sequence
NZ_LT629739.1        -         nhaA-I               RF03057    cm        1       55  2197142  2197083      -    no    1 0.67   0.0   25.1   5.5e+02 !   Brevibacterium sandarakinum strain DSM 22082 chromosome I
NZ_SRLB01000002.1    -         nhaA-I               RF03057    cm        1       55   261398   261448      +    no    1 0.75   0.0   25.1   5.5e+02 !   Methylobacterium sp. 6HR-1 contig2, whole genome shotgun sequence
NZ_JTHF01000161.1    -         nhaA-I               RF03057    cm        1       55     7965     8015      +    no    1 0.75   0.0   25.1   5.5e+02 !   Methylobacterium indicum strain SE2.11 contig_161, whole genome shotgun sequence
NZ_RJSF01000034.1    -         nhaA-I               RF03057    cm        1       55     2402     2455      +    no    1 0.69   0.0   25.1   5.5e+02 !   Marmoricola pocheonensis strain Gsoil 818 scaffold377_267.0, whole genome shotgun sequence
JAGIBL010000009.1    -         nhaA-I               RF03057    cm        1       55    47405    47351      -    no    1 0.78   0.3   25.1   5.5e+02 !   Nocardioidaceae bacterium isolate BIN47 scaffold9_cov0, whole genome shotgun sequence
NZ_QFYS01000009.1    -         nhaA-I               RF03057    cm       27       55    95002    95028      +    no    1 0.81   0.0   25.1   5.5e+02 !   Phenylobacterium kunshanense strain BUT-10 contig_9_length_176610_cov_39.435067, whole genome shotgun sequence
JAEDJB010000221.1    -         nhaA-I               RF03057    cm        1       55      229      166      -    no    1 0.77   0.6   25.1   5.5e+02 !   MAG: Oscillospiraceae bacterium isolate MAG177 NODE_62902_length_2156_cov_16.627796, whole genome shotgun sequence
NZ_CP006850.1        -         nhaA-I               RF03057    cm        1       55  4874943  4874999      +    no    1 0.70   0.0   25.1   5.5e+02 !   Nocardia nova SH22a chromosome, complete genome
NZ_LT984803.1        -         nhaA-I               RF03057    cm        1       55  2880397  2880325      -    no    1 0.73   0.2   25.1   5.6e+02 !   Cupriavidus taiwanensis isolate Cupriavidus taiwanensis STM 3679 chromosome I
NZ_SZPZ01000002.1    -         nhaA-I               RF03057    cm        1       55  1165454  1165423      -    no    1 0.81   0.2   25.1   5.6e+02 !   Kribbella sp. NEAU-THZ 27 Scaffold2, whole genome shotgun sequence
VFZL01000056.1       -         nhaA-I               RF03057    cm        1       55     5832     5794      -    no    1 0.79   0.0   25.1   5.6e+02 !   Acidimicrobiia bacterium isolate K_Offshore_80m_m2_117 K_Offshore_80m_m2_117_Ga0194132_10006506, whole genome shotgun sequence
NZ_CP029479.1        -         nhaA-I               RF03057    cm        1       55  1767563  1767513      -    no    1 0.76   0.3   25.1   5.6e+02 !   Phenylobacterium parvum strain HYN0004 chromosome, complete genome
NWQL01000003.1       -         nhaA-I               RF03057    cm        1       55    88161    88215      +    no    1 0.80   2.9   25.1   5.6e+02 !   Xanthomonadaceae bacterium NML91-0213 NML91-0213_3, whole genome shotgun sequence
VGVT01000020.1       -         nhaA-I               RF03057    cm        1       55     5655     5703      +    no    1 0.78   0.1   25.1   5.6e+02 !   Betaproteobacteria bacterium isolate K_DeepCast_150m_m1_387 K_DeepCast_150m_m1_387_Ga0194126_10001216, whole genome shotgun sequence
SHYZ01000013.1       -         nhaA-I               RF03057    cm        1       55     2759     2699      -    no    1 0.72   0.0   25.1   5.6e+02 !   Myxococcales bacterium isolate Baikal-deep-G132 BACOMB-C5409, whole genome shotgun sequence
JAHJGO010000016.1    -         nhaA-I               RF03057    cm        1       55   361572   361639      +    no    1 0.69   0.0   25.1   5.6e+02 !   MAG: Gammaproteobacteria bacterium isolate Modern_marine_glass_biofilm.mb.74 Modern_marine_glas.mb.74_k141_714380, whole genome shotgun sequence
NZ_JAEMUX010000063.1 -         nhaA-I               RF03057    cm        1       55    16469    16420      -    no    1 0.82   1.9   25.1   5.6e+02 !   Streptomyces sp. CAP261 63, whole genome shotgun sequence
NZ_CP053908.1        -         nhaA-I               RF03057    cm        1       55  1293687  1293735      +    no    1 0.65   0.0   25.1   5.6e+02 !   Hymenobacter sp. BRD128 chromosome, complete genome
NZ_CP013140.1        -         nhaA-I               RF03057    cm        1       55  5368940  5368888      -    no    1 0.64   0.0   25.1   5.6e+02 !   Lysobacter enzymogenes strain C3 chromosome
NZ_FNOG01000011.1    -         nhaA-I               RF03057    cm        1       55   122333   122385      +    no    1 0.64   0.0   25.1   5.6e+02 !   Lysobacter enzymogenes strain ATCC 29487, whole genome shotgun sequence
LUYM01000006.1       -         nhaA-I               RF03057    cm        1       55    38447    38396      -    no    1 0.79   0.3   25.1   5.6e+02 !   Actinomycetales bacterium Actino_02 Actino_02_contig_152, whole genome shotgun sequence
NZ_JNZA01000017.1    -         nhaA-I               RF03057    cm        1       55   111279   111345      +    no    1 0.75   1.1   25.1   5.6e+02 !   Streptomyces lydicus strain NRRL ISP-5461 contig17.1, whole genome shotgun sequence
NZ_JOJN01000002.1    -         nhaA-I               RF03057    cm        1       55    73875    73939      +    no    1 0.74   0.7   25.1   5.6e+02 !   Marmoricola aequoreus strain NRRL B-24464 contig2.1, whole genome shotgun sequence
NZ_JACHHP010000003.1 -         nhaA-I               RF03057    cm        1       55   100218   100272      +    no    1 0.69   0.0   25.1   5.6e+02 !   Chiayiivirga flava strain DSM 24163 Ga0415248_03, whole genome shotgun sequence
SYLI01000062.1       -         nhaA-I               RF03057    cm        1       55     1371     1315      -    no    1 0.67   0.0   25.1   5.6e+02 !   Verrucomicrobiales bacterium isolate F1-80-MAGs060 F1-80__c462796, whole genome shotgun sequence
AP014683.1           -         nhaA-I               RF03057    cm        3       55  3144212  3144268      +    no    1 0.75   0.1   25.1   5.6e+02 !   Burkholderiales bacterium GJ-E10 DNA, complete genome
JACPEG010000028.1    -         nhaA-I               RF03057    cm        1       55    51553    51498      -    no    1 0.68   0.0   25.1   5.6e+02 !   Betaproteobacteria bacterium isolate NC_groundwater_329_Ag_B-0.1um_65_19 GD18-4_B1_scaffold_614050, whole genome shotgun sequence
NZ_BOPC01000181.1    -         nhaA-I               RF03057    cm        1       55      271      329      +    no    1 0.66   0.0   25.1   5.6e+02 !   Micromonospora qiuiae strain NBRC 106684 sequence181, whole genome shotgun sequence
NZ_PVTG01000011.1    -         nhaA-I               RF03057    cm        1       55    88547    88599      +    no    1 0.75   0.1   25.1   5.7e+02 !   Geodermatophilus tzadiensis strain DSM 45416 Ga0056088_111, whole genome shotgun sequence
NZ_JABTYE010000001.1 -         nhaA-I               RF03057    cm        1       55   245929   245857      -    no    1 0.73   0.2   25.1   5.7e+02 !   Cupriavidus gilardii strain USM5 USM5_assembled_contig_1, whole genome shotgun sequence
NZ_JAHCLU010000014.1 -         nhaA-I               RF03057    cm        1       55    82456    82529      +    no    1 0.61   0.0   25.1   5.7e+02 !   Halomonas sp. TRM85114 contig14, whole genome shotgun sequence
VFYY01000001.1       -         nhaA-I               RF03057    cm        1       55    12668    12721      +    no    1 0.76   0.1   25.1   5.7e+02 !   Acidimicrobiia bacterium isolate K_Offshore_120m_m2_006 K_Offshore_120m_m2_006_Ga0194131_10000382, whole genome shotgun sequence
CP002770.1           -         nhaA-I               RF03057    cm        1       55  2833988  2833947      -    no    1 0.69   0.0   25.1   5.7e+02 !   Desulfotomaculum kuznetsovii DSM 6115, complete genome
NZ_QPLJ01000007.1    -         nhaA-I               RF03057    cm        1       55   159953   159909      -    no    1 0.69   0.0   25.1   5.7e+02 !   Jannaschia formosa strain 12N15 12N15_scaffold7, whole genome shotgun sequence
NZ_NJGU01000001.1    -         nhaA-I               RF03057    cm        1       55    91394    91336      -    no    1 0.76   0.1   25.1   5.7e+02 !   Herbaspirillum robiniae strain HZ10 Scaffold1_1, whole genome shotgun sequence
NZ_AEEC02000005.1    -         nhaA-I               RF03057    cm        1       55   139617   139675      +    no    1 0.76   0.1   25.1   5.7e+02 !   Herbaspirillum frisingense GSF30 contig05, whole genome shotgun sequence
NZ_BNCD01000016.1    -         nhaA-I               RF03057    cm        1       55   162179   162144      -    no    1 0.86   1.2   25.1   5.7e+02 !   Streptomyces sulfonofaciens strain JCM 5069 sequence016, whole genome shotgun sequence
DUZU01000012.1       -         nhaA-I               RF03057    cm        1       55    47265    47329      +    no    1 0.68   0.0   25.1   5.7e+02 !   TPA_asm: Deltaproteobacteria bacterium isolate MAG_22204_dsfv_001 Ga0224496_10000090, whole genome shotgun sequence
NZ_POUD01000101.1    -         nhaA-I               RF03057    cm        1       55    13329    13260      -    no    1 0.69   0.0   25.1   5.7e+02 !   Nonomuraea sp. KC333 NODE_101_length_27904_cov_48.283, whole genome shotgun sequence
SSMX01000004.1       -         nhaA-I               RF03057    cm        1       55   116734   116795      +    no    1 0.76   0.1   25.1   5.7e+02 !   Phenylobacterium sp. isolate LY.12 4, whole genome shotgun sequence
JAFRLY010000016.1    -         nhaA-I               RF03057    cm        1       55    85187    85256      +    no    1 0.66   0.0   25.1   5.7e+02 !   Clostridia bacterium isolate RGIG2590 Goat_Jejunum.Co__c275598, whole genome shotgun sequence
NZ_SLVX01000004.1    -         nhaA-I               RF03057    cm        1       55   270513   270465      -    no    1 0.76   0.1   25.1   5.7e+02 !   Shinella granuli strain DSM 18401 Ga0310514_104, whole genome shotgun sequence
BCWJ01000010.1       -         nhaA-I               RF03057    cm        1       55   135831   135734      -    no    1 0.74   2.8   25.1   5.7e+02 !   Xylanimicrobium pachnodae JCM 13526 = NBRC 107786 DNA, contig: XPA01S_CON0010_0001, whole genome shotgun sequence
NZ_JABBGA010000021.1 -         nhaA-I               RF03057    cm        1       55    82742    82788      +    no    1 0.68   0.0   25.1   5.7e+02 !   Zoogloea sp. G-4-1-14 contig21, whole genome shotgun sequence
